experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata
ablation_zero,2,20,"[68236, 78322, 132178, 68589, 106836]",-0.3125,-0.5,-0.1875,0.1875,0.5999999808000006,False,"{'prompt': 'The flower', 'correct_token': ' works', 'incorrect_token': ' work', 'mode': 'zero'}"
ablation_zero,3,15,"[126720, 74491, 124340, 32893, 135551]",-0.125,0.375,0.5,0.5,3.999999680000026,True,"{'prompt': 'The scientist', 'correct_token': ' reads', 'incorrect_token': ' read', 'mode': 'zero'}"
ablation_zero,3,16,"[33604, 2275, 27589, 102190, 37024]",-0.125,-0.25,-0.125,0.125,0.9999999200000065,False,"{'prompt': 'The scientist', 'correct_token': ' reads', 'incorrect_token': ' read', 'mode': 'zero'}"
ablation_zero,3,17,"[3637, 104953, 65581, 148553, 86587]",-0.125,-0.125,0.0,0.0,0.0,False,"{'prompt': 'The scientist', 'correct_token': ' reads', 'incorrect_token': ' read', 'mode': 'zero'}"
ablation_zero,3,18,"[148587, 152652, 143489, 125296, 25165]",-0.125,-0.5625,-0.4375,0.4375,3.4999997200000226,False,"{'prompt': 'The scientist', 'correct_token': ' reads', 'incorrect_token': ' read', 'mode': 'zero'}"
ablation_zero,3,19,"[11545, 135661, 162499, 142719, 103010]",-0.125,-0.125,0.0,0.0,0.0,False,"{'prompt': 'The scientist', 'correct_token': ' reads', 'incorrect_token': ' read', 'mode': 'zero'}"
ablation_zero,3,20,"[68236, 106836, 132178, 78322, 68589]",-0.125,0.5,0.625,0.625,4.999999600000033,True,"{'prompt': 'The scientist', 'correct_token': ' reads', 'incorrect_token': ' read', 'mode': 'zero'}"
ablation_zero,4,15,"[126720, 74491, 124340, 32893, 135551]",0.3125,-0.4375,-0.75,0.75,2.3999999232000024,True,"{'prompt': 'The scientist', 'correct_token': ' sleeps', 'incorrect_token': ' sleep', 'mode': 'zero'}"
ablation_zero,4,16,"[33604, 2275, 27589, 102190, 37024]",0.3125,0.1875,-0.125,0.125,0.3999999872000004,False,"{'prompt': 'The scientist', 'correct_token': ' sleeps', 'incorrect_token': ' sleep', 'mode': 'zero'}"
ablation_zero,4,17,"[3637, 104953, 65581, 148553, 86587]",0.3125,0.25,-0.0625,0.0625,0.1999999936000002,False,"{'prompt': 'The scientist', 'correct_token': ' sleeps', 'incorrect_token': ' sleep', 'mode': 'zero'}"
ablation_zero,4,18,"[148587, 152652, 143489, 125296, 25165]",0.3125,-0.3125,-0.625,0.625,1.999999936000002,True,"{'prompt': 'The scientist', 'correct_token': ' sleeps', 'incorrect_token': ' sleep', 'mode': 'zero'}"
ablation_zero,4,19,"[11545, 135661, 162499, 142719, 103010]",0.3125,0.125,-0.1875,0.1875,0.5999999808000006,False,"{'prompt': 'The scientist', 'correct_token': ' sleeps', 'incorrect_token': ' sleep', 'mode': 'zero'}"
ablation_zero,4,20,"[68236, 106836, 132178, 78322, 68589]",0.3125,0.4375,0.125,0.125,0.3999999872000004,False,"{'prompt': 'The scientist', 'correct_token': ' sleeps', 'incorrect_token': ' sleep', 'mode': 'zero'}"
ablation_zero,5,15,"[126720, 135551, 74491, 32893, 124340]",0.5,0.25,-0.25,0.25,0.49999999000000017,False,"{'prompt': 'The dog', 'correct_token': ' sits', 'incorrect_token': ' sit', 'mode': 'zero'}"
ablation_zero,5,16,"[33604, 2275, 37024, 102190, 27589]",0.5,0.625,0.125,0.125,0.24999999500000009,False,"{'prompt': 'The dog', 'correct_token': ' sits', 'incorrect_token': ' sit', 'mode': 'zero'}"
ablation_zero,5,17,"[3637, 104953, 65581, 148553, 86587]",0.5,0.5625,0.0625,0.0625,0.12499999750000004,False,"{'prompt': 'The dog', 'correct_token': ' sits', 'incorrect_token': ' sit', 'mode': 'zero'}"
ablation_zero,5,18,"[148587, 143489, 25165, 125296, 152652]",0.5,0.75,0.25,0.25,0.49999999000000017,False,"{'prompt': 'The dog', 'correct_token': ' sits', 'incorrect_token': ' sit', 'mode': 'zero'}"
ablation_zero,5,19,"[11545, 142719, 135661, 103010, 162499]",0.5,0.8125,0.3125,0.3125,0.6249999875000002,False,"{'prompt': 'The dog', 'correct_token': ' sits', 'incorrect_token': ' sit', 'mode': 'zero'}"
ablation_zero,5,20,"[68236, 78322, 132178, 68589, 106836]",0.5,0.1875,-0.3125,0.3125,0.6249999875000002,False,"{'prompt': 'The dog', 'correct_token': ' sits', 'incorrect_token': ' sit', 'mode': 'zero'}"
ablation_zero,6,15,"[126720, 32893, 124340, 74491, 135551]",0.5625,0.5625,0.0,0.0,0.0,False,"{'prompt': 'The flower', 'correct_token': ' sleeps', 'incorrect_token': ' sleep', 'mode': 'zero'}"
ablation_zero,6,16,"[33604, 2275, 37024, 102190, 27589]",0.5625,0.0625,-0.5,0.5,0.88888887308642,False,"{'prompt': 'The flower', 'correct_token': ' sleeps', 'incorrect_token': ' sleep', 'mode': 'zero'}"
ablation_zero,6,17,"[104953, 86587, 3637, 148553, 65581]",0.5625,0.875,0.3125,0.3125,0.5555555456790124,False,"{'prompt': 'The flower', 'correct_token': ' sleeps', 'incorrect_token': ' sleep', 'mode': 'zero'}"
ablation_zero,6,18,"[148587, 143489, 25165, 125296, 152652]",0.5625,1.5,0.9375,0.9375,1.6666666370370373,False,"{'prompt': 'The flower', 'correct_token': ' sleeps', 'incorrect_token': ' sleep', 'mode': 'zero'}"
ablation_zero,6,19,"[11545, 135661, 162499, 142719, 103010]",0.5625,0.375,-0.1875,0.1875,0.3333333274074075,False,"{'prompt': 'The flower', 'correct_token': ' sleeps', 'incorrect_token': ' sleep', 'mode': 'zero'}"
ablation_zero,6,20,"[68236, 78322, 132178, 68589, 106836]",0.5625,0.4375,-0.125,0.125,0.222222218271605,False,"{'prompt': 'The flower', 'correct_token': ' sleeps', 'incorrect_token': ' sleep', 'mode': 'zero'}"
ablation_zero,7,15,"[126720, 32893, 124340, 74491, 135551]",1.375,1.3125,-0.0625,0.0625,0.04545454512396695,False,"{'prompt': 'The chair', 'correct_token': ' walks', 'incorrect_token': ' walk', 'mode': 'zero'}"
ablation_zero,7,16,"[33604, 37024, 27589, 2275, 102190]",1.375,1.625,0.25,0.25,0.1818181804958678,False,"{'prompt': 'The chair', 'correct_token': ' walks', 'incorrect_token': ' walk', 'mode': 'zero'}"
ablation_zero,7,17,"[65581, 3637, 86587, 148553, 104953]",1.375,1.3125,-0.0625,0.0625,0.04545454512396695,False,"{'prompt': 'The chair', 'correct_token': ' walks', 'incorrect_token': ' walk', 'mode': 'zero'}"
ablation_zero,7,18,"[148587, 143489, 25165, 125296, 152652]",1.375,1.5,0.125,0.125,0.0909090902479339,False,"{'prompt': 'The chair', 'correct_token': ' walks', 'incorrect_token': ' walk', 'mode': 'zero'}"
ablation_zero,7,19,"[11545, 135661, 162499, 142719, 103010]",1.375,1.625,0.25,0.25,0.1818181804958678,False,"{'prompt': 'The chair', 'correct_token': ' walks', 'incorrect_token': ' walk', 'mode': 'zero'}"
ablation_zero,7,20,"[68236, 78322, 68589, 106836, 132178]",1.375,0.6875,-0.6875,0.6875,0.4999999963636364,False,"{'prompt': 'The chair', 'correct_token': ' walks', 'incorrect_token': ' walk', 'mode': 'zero'}"
ablation_zero,8,15,"[126720, 32893, 124340, 74491, 135551]",1.4375,1.1875,-0.25,0.25,0.17391304226843102,False,"{'prompt': 'The chair', 'correct_token': ' writes', 'incorrect_token': ' write', 'mode': 'zero'}"
ablation_zero,8,16,"[33604, 37024, 27589, 2275, 102190]",1.4375,1.6875,0.25,0.25,0.17391304226843102,False,"{'prompt': 'The chair', 'correct_token': ' writes', 'incorrect_token': ' write', 'mode': 'zero'}"
ablation_zero,8,17,"[65581, 3637, 86587, 148553, 104953]",1.4375,1.1875,-0.25,0.25,0.17391304226843102,False,"{'prompt': 'The chair', 'correct_token': ' writes', 'incorrect_token': ' write', 'mode': 'zero'}"
ablation_zero,8,18,"[148587, 143489, 25165, 125296, 152652]",1.4375,1.25,-0.1875,0.1875,0.13043478170132328,False,"{'prompt': 'The chair', 'correct_token': ' writes', 'incorrect_token': ' write', 'mode': 'zero'}"
ablation_zero,8,19,"[11545, 135661, 162499, 142719, 103010]",1.4375,1.6875,0.25,0.25,0.17391304226843102,False,"{'prompt': 'The chair', 'correct_token': ' writes', 'incorrect_token': ' write', 'mode': 'zero'}"
ablation_zero,8,20,"[68236, 78322, 68589, 106836, 132178]",1.4375,0.8125,-0.625,0.625,0.43478260567107757,False,"{'prompt': 'The chair', 'correct_token': ' writes', 'incorrect_token': ' write', 'mode': 'zero'}"
ablation_zero,9,15,"[126720, 74491, 124340, 32893, 135551]",1.6875,1.875,0.1875,0.1875,0.11111111045267491,False,"{'prompt': 'The computer', 'correct_token': ' stands', 'incorrect_token': ' stand', 'mode': 'zero'}"
ablation_zero,9,16,"[33604, 2275, 102190, 37024, 27589]",1.6875,1.6875,0.0,0.0,0.0,False,"{'prompt': 'The computer', 'correct_token': ' stands', 'incorrect_token': ' stand', 'mode': 'zero'}"
ablation_zero,9,17,"[104953, 3637, 148553, 86587, 65581]",1.6875,2.0,0.3125,0.3125,0.1851851840877915,False,"{'prompt': 'The computer', 'correct_token': ' stands', 'incorrect_token': ' stand', 'mode': 'zero'}"
ablation_zero,9,18,"[148587, 143489, 25165, 152652, 125296]",1.6875,2.125,0.4375,0.4375,0.2592592577229081,False,"{'prompt': 'The computer', 'correct_token': ' stands', 'incorrect_token': ' stand', 'mode': 'zero'}"
ablation_zero,9,19,"[11545, 103010, 135661, 162499, 142719]",1.6875,1.8125,0.125,0.125,0.0740740736351166,False,"{'prompt': 'The computer', 'correct_token': ' stands', 'incorrect_token': ' stand', 'mode': 'zero'}"
ablation_zero,9,20,"[68236, 78322, 68589, 106836, 132178]",1.6875,1.4375,-0.25,0.25,0.1481481472702332,False,"{'prompt': 'The computer', 'correct_token': ' stands', 'incorrect_token': ' stand', 'mode': 'zero'}"
ablation_zero,10,15,"[126720, 32893, 135551, 124340, 74491]",2.5625,2.5625,0.0,0.0,0.0,False,"{'prompt': 'The books', 'correct_token': ' know', 'incorrect_token': ' knows', 'mode': 'zero'}"
ablation_zero,10,16,"[33604, 102190, 27589, 2275, 37024]",2.5625,2.875,0.3125,0.3125,0.12195121903628793,False,"{'prompt': 'The books', 'correct_token': ' know', 'incorrect_token': ' knows', 'mode': 'zero'}"
ablation_zero,10,17,"[86587, 65581, 3637, 148553, 104953]",2.5625,2.375,-0.1875,0.1875,0.07317073142177276,False,"{'prompt': 'The books', 'correct_token': ' know', 'incorrect_token': ' knows', 'mode': 'zero'}"
ablation_zero,10,18,"[125296, 148587, 143489, 152652, 25165]",2.5625,3.375,0.8125,0.8125,0.3170731694943486,False,"{'prompt': 'The books', 'correct_token': ' know', 'incorrect_token': ' knows', 'mode': 'zero'}"
ablation_zero,10,19,"[11545, 103010, 135661, 162499, 142719]",2.5625,2.5,-0.0625,0.0625,0.024390243807257586,False,"{'prompt': 'The books', 'correct_token': ' know', 'incorrect_token': ' knows', 'mode': 'zero'}"
ablation_zero,10,20,"[68236, 78322, 106836, 68589, 132178]",2.5625,2.125,-0.4375,0.4375,0.1707317066508031,False,"{'prompt': 'The books', 'correct_token': ' know', 'incorrect_token': ' knows', 'mode': 'zero'}"
ablation_zero,11,15,"[126720, 32893, 124340, 74491, 135551]",2.75,2.9375,0.1875,0.1875,0.0681818179338843,False,"{'prompt': 'The flowers', 'correct_token': ' think', 'incorrect_token': ' thinks', 'mode': 'zero'}"
ablation_zero,11,16,"[33604, 2275, 37024, 102190, 27589]",2.75,2.8125,0.0625,0.0625,0.0227272726446281,False,"{'prompt': 'The flowers', 'correct_token': ' think', 'incorrect_token': ' thinks', 'mode': 'zero'}"
ablation_zero,11,17,"[65581, 3637, 86587, 148553, 104953]",2.75,2.375,-0.375,0.375,0.1363636358677686,False,"{'prompt': 'The flowers', 'correct_token': ' think', 'incorrect_token': ' thinks', 'mode': 'zero'}"
ablation_zero,11,18,"[125296, 25165, 143489, 152652, 148587]",2.75,2.375,-0.375,0.375,0.1363636358677686,False,"{'prompt': 'The flowers', 'correct_token': ' think', 'incorrect_token': ' thinks', 'mode': 'zero'}"
ablation_zero,11,19,"[11545, 103010, 135661, 142719, 162499]",2.75,2.8125,0.0625,0.0625,0.0227272726446281,False,"{'prompt': 'The flowers', 'correct_token': ' think', 'incorrect_token': ' thinks', 'mode': 'zero'}"
ablation_zero,11,20,"[68236, 78322, 132178, 68589, 106836]",2.75,2.6875,-0.0625,0.0625,0.0227272726446281,False,"{'prompt': 'The flowers', 'correct_token': ' think', 'incorrect_token': ' thinks', 'mode': 'zero'}"
ablation_zero,12,15,"[126720, 32893, 124340, 74491, 135551]",2.75,2.9375,0.1875,0.1875,0.0681818179338843,False,"{'prompt': 'The flowers', 'correct_token': ' think', 'incorrect_token': ' thinks', 'mode': 'zero'}"
ablation_zero,12,16,"[33604, 2275, 37024, 102190, 27589]",2.75,2.8125,0.0625,0.0625,0.0227272726446281,False,"{'prompt': 'The flowers', 'correct_token': ' think', 'incorrect_token': ' thinks', 'mode': 'zero'}"
ablation_zero,12,17,"[65581, 3637, 86587, 148553, 104953]",2.75,2.375,-0.375,0.375,0.1363636358677686,False,"{'prompt': 'The flowers', 'correct_token': ' think', 'incorrect_token': ' thinks', 'mode': 'zero'}"
ablation_zero,12,18,"[125296, 25165, 143489, 152652, 148587]",2.75,2.375,-0.375,0.375,0.1363636358677686,False,"{'prompt': 'The flowers', 'correct_token': ' think', 'incorrect_token': ' thinks', 'mode': 'zero'}"
ablation_zero,12,19,"[11545, 103010, 135661, 142719, 162499]",2.75,2.8125,0.0625,0.0625,0.0227272726446281,False,"{'prompt': 'The flowers', 'correct_token': ' think', 'incorrect_token': ' thinks', 'mode': 'zero'}"
ablation_zero,12,20,"[68236, 78322, 132178, 68589, 106836]",2.75,2.6875,-0.0625,0.0625,0.0227272726446281,False,"{'prompt': 'The flowers', 'correct_token': ' think', 'incorrect_token': ' thinks', 'mode': 'zero'}"
ablation_zero,13,15,"[126720, 135551, 32893, 124340, 74491]",2.8125,2.625,-0.1875,0.1875,0.06666666642962964,False,"{'prompt': 'The artists', 'correct_token': ' play', 'incorrect_token': ' plays', 'mode': 'zero'}"
ablation_zero,13,16,"[33604, 27589, 102190, 2275, 37024]",2.8125,2.9375,0.125,0.125,0.044444444286419756,False,"{'prompt': 'The artists', 'correct_token': ' play', 'incorrect_token': ' plays', 'mode': 'zero'}"
ablation_zero,13,17,"[148553, 86587, 3637, 65581, 104953]",2.8125,2.6875,-0.125,0.125,0.044444444286419756,False,"{'prompt': 'The artists', 'correct_token': ' play', 'incorrect_token': ' plays', 'mode': 'zero'}"
ablation_zero,13,18,"[125296, 143489, 148587, 25165, 152652]",2.8125,2.875,0.0625,0.0625,0.022222222143209878,False,"{'prompt': 'The artists', 'correct_token': ' play', 'incorrect_token': ' plays', 'mode': 'zero'}"
ablation_zero,13,19,"[142719, 11545, 103010, 162499, 135661]",2.8125,2.9375,0.125,0.125,0.044444444286419756,False,"{'prompt': 'The artists', 'correct_token': ' play', 'incorrect_token': ' plays', 'mode': 'zero'}"
ablation_zero,13,20,"[68236, 132178, 106836, 78322, 68589]",2.8125,2.9375,0.125,0.125,0.044444444286419756,False,"{'prompt': 'The artists', 'correct_token': ' play', 'incorrect_token': ' plays', 'mode': 'zero'}"
ablation_zero,14,15,"[126720, 135551, 32893, 74491, 124340]",2.75,2.5,-0.25,0.25,0.0909090905785124,False,"{'prompt': 'The dogs', 'correct_token': ' stand', 'incorrect_token': ' stands', 'mode': 'zero'}"
ablation_zero,14,16,"[33604, 2275, 37024, 102190, 27589]",2.75,2.8125,0.0625,0.0625,0.0227272726446281,False,"{'prompt': 'The dogs', 'correct_token': ' stand', 'incorrect_token': ' stands', 'mode': 'zero'}"
ablation_zero,14,17,"[86587, 148553, 3637, 104953, 65581]",2.75,2.75,0.0,0.0,0.0,False,"{'prompt': 'The dogs', 'correct_token': ' stand', 'incorrect_token': ' stands', 'mode': 'zero'}"
ablation_zero,14,18,"[148587, 143489, 25165, 125296, 152652]",2.75,2.8125,0.0625,0.0625,0.0227272726446281,False,"{'prompt': 'The dogs', 'correct_token': ' stand', 'incorrect_token': ' stands', 'mode': 'zero'}"
ablation_zero,14,19,"[11545, 142719, 135661, 103010, 162499]",2.75,2.9375,0.1875,0.1875,0.0681818179338843,False,"{'prompt': 'The dogs', 'correct_token': ' stand', 'incorrect_token': ' stands', 'mode': 'zero'}"
ablation_zero,14,20,"[68236, 78322, 132178, 68589, 106836]",2.75,2.5625,-0.1875,0.1875,0.0681818179338843,False,"{'prompt': 'The dogs', 'correct_token': ' stand', 'incorrect_token': ' stands', 'mode': 'zero'}"
ablation_zero,15,15,"[126720, 135551, 32893, 74491, 124340]",3.0,2.75,-0.25,0.25,0.08333333305555556,False,"{'prompt': 'The dogs', 'correct_token': ' sleep', 'incorrect_token': ' sleeps', 'mode': 'zero'}"
ablation_zero,15,16,"[33604, 2275, 37024, 102190, 27589]",3.0,3.0,0.0,0.0,0.0,False,"{'prompt': 'The dogs', 'correct_token': ' sleep', 'incorrect_token': ' sleeps', 'mode': 'zero'}"
ablation_zero,15,17,"[86587, 148553, 3637, 104953, 65581]",3.0,2.75,-0.25,0.25,0.08333333305555556,False,"{'prompt': 'The dogs', 'correct_token': ' sleep', 'incorrect_token': ' sleeps', 'mode': 'zero'}"
ablation_zero,15,18,"[148587, 143489, 25165, 125296, 152652]",3.0,3.625,0.625,0.625,0.2083333326388889,False,"{'prompt': 'The dogs', 'correct_token': ' sleep', 'incorrect_token': ' sleeps', 'mode': 'zero'}"
ablation_zero,15,19,"[11545, 142719, 135661, 103010, 162499]",3.0,2.8125,-0.1875,0.1875,0.06249999979166667,False,"{'prompt': 'The dogs', 'correct_token': ' sleep', 'incorrect_token': ' sleeps', 'mode': 'zero'}"
ablation_zero,15,20,"[68236, 78322, 132178, 68589, 106836]",3.0,2.6875,-0.3125,0.3125,0.10416666631944445,False,"{'prompt': 'The dogs', 'correct_token': ' sleep', 'incorrect_token': ' sleeps', 'mode': 'zero'}"
ablation_zero,16,15,"[126720, 32893, 135551, 74491, 124340]",2.96875,2.71875,-0.25,0.25,0.08421052603213297,False,"{'prompt': 'The cars', 'correct_token': ' seem', 'incorrect_token': ' seems', 'mode': 'zero'}"
ablation_zero,16,16,"[33604, 37024, 2275, 102190, 27589]",2.96875,3.0625,0.09375,0.09375,0.031578947262049864,False,"{'prompt': 'The cars', 'correct_token': ' seem', 'incorrect_token': ' seems', 'mode': 'zero'}"
ablation_zero,16,17,"[86587, 148553, 104953, 65581, 3637]",2.96875,2.71875,-0.25,0.25,0.08421052603213297,False,"{'prompt': 'The cars', 'correct_token': ' seem', 'incorrect_token': ' seems', 'mode': 'zero'}"
ablation_zero,16,18,"[125296, 25165, 143489, 152652, 148587]",2.96875,3.375,0.40625,0.40625,0.13684210480221606,False,"{'prompt': 'The cars', 'correct_token': ' seem', 'incorrect_token': ' seems', 'mode': 'zero'}"
ablation_zero,16,19,"[11545, 142719, 135661, 103010, 162499]",2.96875,2.8125,-0.15625,0.15625,0.05263157877008311,False,"{'prompt': 'The cars', 'correct_token': ' seem', 'incorrect_token': ' seems', 'mode': 'zero'}"
ablation_zero,16,20,"[68236, 78322, 132178, 68589, 106836]",2.96875,3.0625,0.09375,0.09375,0.031578947262049864,False,"{'prompt': 'The cars', 'correct_token': ' seem', 'incorrect_token': ' seems', 'mode': 'zero'}"
ablation_zero,17,15,"[126720, 32893, 135551, 74491, 124340]",3.0625,2.5625,-0.5,0.5,0.16326530558933777,False,"{'prompt': 'The cars', 'correct_token': ' sit', 'incorrect_token': ' sits', 'mode': 'zero'}"
ablation_zero,17,16,"[33604, 37024, 2275, 102190, 27589]",3.0625,3.0,-0.0625,0.0625,0.02040816319866722,False,"{'prompt': 'The cars', 'correct_token': ' sit', 'incorrect_token': ' sits', 'mode': 'zero'}"
ablation_zero,17,17,"[86587, 148553, 104953, 65581, 3637]",3.0625,2.4375,-0.625,0.625,0.20408163198667223,False,"{'prompt': 'The cars', 'correct_token': ' sit', 'incorrect_token': ' sits', 'mode': 'zero'}"
ablation_zero,17,18,"[125296, 25165, 143489, 152652, 148587]",3.0625,1.5625,-1.5,1.5,0.4897959167680133,False,"{'prompt': 'The cars', 'correct_token': ' sit', 'incorrect_token': ' sits', 'mode': 'zero'}"
ablation_zero,17,19,"[11545, 142719, 135661, 103010, 162499]",3.0625,2.8125,-0.25,0.25,0.08163265279466889,False,"{'prompt': 'The cars', 'correct_token': ' sit', 'incorrect_token': ' sits', 'mode': 'zero'}"
ablation_zero,17,20,"[68236, 78322, 132178, 68589, 106836]",3.0625,2.625,-0.4375,0.4375,0.14285714239067057,False,"{'prompt': 'The cars', 'correct_token': ' sit', 'incorrect_token': ' sits', 'mode': 'zero'}"
ablation_zero,18,15,"[126720, 32893, 74491, 135551, 124340]",3.0625,2.8125,-0.25,0.25,0.08163265279466889,False,"{'prompt': 'The lamps', 'correct_token': ' know', 'incorrect_token': ' knows', 'mode': 'zero'}"
ablation_zero,18,16,"[33604, 37024, 27589, 2275, 102190]",3.0625,2.875,-0.1875,0.1875,0.061224489596001665,False,"{'prompt': 'The lamps', 'correct_token': ' know', 'incorrect_token': ' knows', 'mode': 'zero'}"
ablation_zero,18,17,"[65581, 3637, 86587, 148553, 104953]",3.0625,2.8125,-0.25,0.25,0.08163265279466889,False,"{'prompt': 'The lamps', 'correct_token': ' know', 'incorrect_token': ' knows', 'mode': 'zero'}"
ablation_zero,18,18,"[148587, 143489, 25165, 125296, 152652]",3.0625,2.625,-0.4375,0.4375,0.14285714239067057,False,"{'prompt': 'The lamps', 'correct_token': ' know', 'incorrect_token': ' knows', 'mode': 'zero'}"
ablation_zero,18,19,"[103010, 162499, 135661, 11545, 142719]",3.0625,2.5625,-0.5,0.5,0.16326530558933777,False,"{'prompt': 'The lamps', 'correct_token': ' know', 'incorrect_token': ' knows', 'mode': 'zero'}"
ablation_zero,18,20,"[68236, 78322, 106836, 132178, 68589]",3.0625,2.8125,-0.25,0.25,0.08163265279466889,False,"{'prompt': 'The lamps', 'correct_token': ' know', 'incorrect_token': ' knows', 'mode': 'zero'}"
ablation_zero,19,15,"[126720, 135551, 32893, 74491, 124340]",3.1875,3.25,0.0625,0.0625,0.0196078430757401,False,"{'prompt': 'The engineers', 'correct_token': ' sleep', 'incorrect_token': ' sleeps', 'mode': 'zero'}"
ablation_zero,19,16,"[33604, 102190, 2275, 37024, 27589]",3.1875,3.3125,0.125,0.125,0.0392156861514802,False,"{'prompt': 'The engineers', 'correct_token': ' sleep', 'incorrect_token': ' sleeps', 'mode': 'zero'}"
ablation_zero,19,17,"[148553, 86587, 3637, 104953, 65581]",3.1875,3.0625,-0.125,0.125,0.0392156861514802,False,"{'prompt': 'The engineers', 'correct_token': ' sleep', 'incorrect_token': ' sleeps', 'mode': 'zero'}"
ablation_zero,19,18,"[125296, 148587, 152652, 25165, 143489]",3.1875,3.125,-0.0625,0.0625,0.0196078430757401,False,"{'prompt': 'The engineers', 'correct_token': ' sleep', 'incorrect_token': ' sleeps', 'mode': 'zero'}"
ablation_zero,19,19,"[142719, 11545, 103010, 135661, 162499]",3.1875,3.1875,0.0,0.0,0.0,False,"{'prompt': 'The engineers', 'correct_token': ' sleep', 'incorrect_token': ' sleeps', 'mode': 'zero'}"
ablation_zero,19,20,"[68236, 132178, 106836, 78322, 68589]",3.1875,3.0,-0.1875,0.1875,0.058823529227220304,False,"{'prompt': 'The engineers', 'correct_token': ' sleep', 'incorrect_token': ' sleeps', 'mode': 'zero'}"
