cluster_id,prompt_idx,baseline_logit_diff,joint_logit_diff,joint_effect,individual_sum,interaction_term,interaction_ratio,sign_flipped_joint,predicted_sign_flip,correct_answer,level,sign_correct
9,2,0.6875,1.0625,0.375,2.1875,-1.8125,0.1714,False,False,alpha,1,True
10,2,0.6875,1.75,1.0625,3.5,-2.4375,0.3036,False,False,alpha,1,True
11,2,0.6875,1.125,0.4375,2.3125,-1.875,0.1892,False,False,alpha,1,True
0,3,1.1875,0.75,-0.4375,-2.1875,1.75,0.2,False,True,alpha,1,True
1,3,1.1875,1.375,0.1875,0.875,-0.6875,0.2143,False,False,alpha,1,True
2,3,1.1875,1.4375,0.25,0.5625,-0.3125,0.4444,False,False,alpha,1,True
3,3,1.1875,0.9375,-0.25,-0.75,0.5,0.3333,False,False,alpha,1,True
4,3,1.1875,1.9375,0.75,0.875,-0.125,0.8571,False,False,alpha,1,True
5,3,1.1875,1.1875,0.0,0.125,-0.125,0.0,False,False,alpha,1,True
6,3,1.1875,0.625,-0.5625,1.1875,-1.75,-0.4737,False,False,alpha,1,True
7,3,1.1875,0.625,-0.5625,-2.375,1.8125,0.2368,False,True,alpha,1,True
8,3,1.1875,1.5625,0.375,3.75,-3.375,0.1,False,False,alpha,1,True
9,3,1.1875,1.4375,0.25,1.5625,-1.3125,0.16,False,False,alpha,1,True
10,3,1.1875,1.875,0.6875,4.875,-4.1875,0.141,False,False,alpha,1,True
11,3,1.1875,1.5625,0.375,1.6875,-1.3125,0.2222,False,False,alpha,1,True
0,4,1.0625,0.8125,-0.25,-1.75,1.5,0.1429,False,True,alpha,1,True
1,4,1.0625,1.375,0.3125,1.25,-0.9375,0.25,False,False,alpha,1,True
2,4,1.0625,1.1875,0.125,0.5,-0.375,0.25,False,False,alpha,1,True
3,4,1.0625,0.9375,-0.125,-0.3125,0.1875,0.4,False,False,alpha,1,True
4,4,1.0625,1.4375,0.375,1.9375,-1.5625,0.1935,False,False,alpha,1,True
5,4,1.0625,0.875,-0.1875,-0.4375,0.25,0.4286,False,False,alpha,1,True
6,4,1.0625,1.125,0.0625,4.6875,-4.625,0.0133,False,False,alpha,1,True
7,4,1.0625,0.625,-0.4375,-1.625,1.1875,0.2692,False,True,alpha,1,True
8,4,1.0625,0.75,-0.3125,-0.625,0.3125,0.5,False,False,alpha,1,True
9,4,1.0625,1.375,0.3125,1.5,-1.1875,0.2083,False,False,alpha,1,True
10,4,1.0625,1.5625,0.5,2.0625,-1.5625,0.2424,False,False,alpha,1,True
11,4,1.0625,1.1875,0.125,0.875,-0.75,0.1429,False,False,alpha,1,True
0,5,1.0,0.75,-0.25,-1.25,1.0,0.2,False,True,alpha,1,True
1,5,1.0,1.125,0.125,0.375,-0.25,0.3333,False,False,alpha,1,True
2,5,1.0,1.1875,0.1875,0.375,-0.1875,0.5,False,False,alpha,1,True
3,5,1.0,0.6875,-0.3125,-0.8125,0.5,0.3846,False,False,alpha,1,True
4,5,1.0,1.375,0.375,0.0625,0.3125,6.0,False,False,alpha,1,True
5,5,1.0,0.6875,-0.3125,-1.0,0.6875,0.3125,False,False,alpha,1,True
6,5,1.0,0.625,-0.375,1.625,-2.0,-0.2308,False,False,alpha,1,True
7,5,1.0,0.5625,-0.4375,-1.9375,1.5,0.2258,False,True,alpha,1,True
8,5,1.0,0.375,-0.625,-1.375,0.75,0.4545,False,True,alpha,1,True
9,5,1.0,0.9375,-0.0625,0.25,-0.3125,-0.25,False,False,alpha,1,True
10,5,1.0,1.6875,0.6875,3.25,-2.5625,0.2115,False,False,alpha,1,True
11,5,1.0,1.4375,0.4375,2.125,-1.6875,0.2059,False,False,alpha,1,True
0,6,1.5,1.75,0.25,1.5,-1.25,0.1667,False,False,alpha,1,True
1,6,1.5,1.625,0.125,0.5,-0.375,0.25,False,False,alpha,1,True
2,6,1.5,1.625,0.125,0.4375,-0.3125,0.2857,False,False,alpha,1,True
3,6,1.5,1.3125,-0.1875,-0.4375,0.25,0.4286,False,False,alpha,1,True
4,6,1.5,1.875,0.375,-0.625,1.0,-0.6,False,False,alpha,1,True
5,6,1.5,1.3125,-0.1875,-0.5,0.3125,0.375,False,False,alpha,1,True
6,6,1.5,1.125,-0.375,0.3125,-0.6875,-1.2,False,False,alpha,1,True
7,6,1.5,0.9375,-0.5625,-2.4375,1.875,0.2308,False,True,alpha,1,True
8,6,1.5,0.875,-0.625,-0.25,-0.375,2.5,False,False,alpha,1,True
9,6,1.5,1.3125,-0.1875,-0.375,0.1875,0.5,False,False,alpha,1,True
10,6,1.5,2.625,1.125,8.3125,-7.1875,0.1353,False,False,alpha,1,True
11,6,1.5,1.625,0.125,0.625,-0.5,0.2,False,False,alpha,1,True
0,7,1.625,1.25,-0.375,-2.1875,1.8125,0.1714,False,True,alpha,1,True
1,7,1.625,1.625,0.0,0.0625,-0.0625,0.0,False,False,alpha,1,True
2,7,1.625,1.4375,-0.1875,-0.5625,0.375,0.3333,False,False,alpha,1,True
3,7,1.625,1.3125,-0.3125,-1.0625,0.75,0.2941,False,False,alpha,1,True
4,7,1.625,1.625,0.0,-1.9375,1.9375,-0.0,False,True,alpha,1,True
5,7,1.625,1.5625,-0.0625,0.0,-0.0625,,False,False,alpha,1,True
6,7,1.625,1.375,-0.25,1.625,-1.875,-0.1538,False,False,alpha,1,True
7,7,1.625,1.1875,-0.4375,-1.6875,1.25,0.2593,False,True,alpha,1,True
8,7,1.625,1.5,-0.125,1.0625,-1.1875,-0.1176,False,False,alpha,1,True
9,7,1.625,1.4375,-0.1875,-0.5625,0.375,0.3333,False,False,alpha,1,True
10,7,1.625,2.625,1.0,4.375,-3.375,0.2286,False,False,alpha,1,True
11,7,1.625,1.9375,0.3125,1.5625,-1.25,0.2,False,False,alpha,1,True
0,8,1.1875,1.125,-0.0625,-1.0,0.9375,0.0625,False,False,alpha,1,True
1,8,1.1875,1.1875,0.0,0.1875,-0.1875,0.0,False,False,alpha,1,True
2,8,1.1875,1.3125,0.125,0.375,-0.25,0.3333,False,False,alpha,1,True
3,8,1.1875,0.875,-0.3125,-0.875,0.5625,0.3571,False,False,alpha,1,True
4,8,1.1875,1.625,0.4375,-0.25,0.6875,-1.75,False,False,alpha,1,True
5,8,1.1875,1.0,-0.1875,-0.625,0.4375,0.3,False,False,alpha,1,True
6,8,1.1875,0.8125,-0.375,0.875,-1.25,-0.4286,False,False,alpha,1,True
7,8,1.1875,0.6875,-0.5,-2.0625,1.5625,0.2424,False,True,alpha,1,True
8,8,1.1875,0.75,-0.4375,0.4375,-0.875,-1.0,False,False,alpha,1,True
9,8,1.1875,1.0625,-0.125,0.125,-0.25,-1.0,False,False,alpha,1,True
10,8,1.1875,2.375,1.1875,7.9688,-6.7813,0.149,False,False,alpha,1,True
11,8,1.1875,1.4375,0.25,1.375,-1.125,0.1818,False,False,alpha,1,True
0,9,1.25,1.0625,-0.1875,-1.5625,1.375,0.12,False,True,alpha,1,True
1,9,1.25,1.4375,0.1875,0.8125,-0.625,0.2308,False,False,alpha,1,True
2,9,1.25,1.4375,0.1875,0.5,-0.3125,0.375,False,False,alpha,1,True
3,9,1.25,1.0,-0.25,-0.625,0.375,0.4,False,False,alpha,1,True
4,9,1.25,1.625,0.375,0.3125,0.0625,1.2,False,False,alpha,1,True
5,9,1.25,1.125,-0.125,-0.4375,0.3125,0.2857,False,False,alpha,1,True
6,9,1.25,1.0625,-0.1875,1.8125,-2.0,-0.1034,False,False,alpha,1,True
7,9,1.25,0.6875,-0.5625,-2.4375,1.875,0.2308,False,True,alpha,1,True
8,9,1.25,1.0625,-0.1875,0.1875,-0.375,-1.0,False,False,alpha,1,True
9,9,1.25,1.1875,-0.0625,0.1875,-0.25,-0.3333,False,False,alpha,1,True
10,9,1.25,1.875,0.625,2.875,-2.25,0.2174,False,False,alpha,1,True
11,9,1.25,1.4375,0.1875,0.75,-0.5625,0.25,False,False,alpha,1,True
0,10,1.125,0.8125,-0.3125,-1.8125,1.5,0.1724,False,True,alpha,1,True
1,10,1.125,1.1875,0.0625,0.1875,-0.125,0.3333,False,False,alpha,1,True
2,10,1.125,1.25,0.125,0.3125,-0.1875,0.4,False,False,alpha,1,True
3,10,1.125,1.0,-0.125,-0.5,0.375,0.25,False,False,alpha,1,True
4,10,1.125,1.9375,0.8125,2.125,-1.3125,0.3824,False,False,alpha,1,True
5,10,1.125,0.9375,-0.1875,-0.5625,0.375,0.3333,False,False,alpha,1,True
6,10,1.125,0.9375,-0.1875,3.375,-3.5625,-0.0556,False,False,alpha,1,True
7,10,1.125,0.3125,-0.8125,-3.625,2.8125,0.2241,False,True,alpha,1,True
8,10,1.125,1.3125,0.1875,1.5625,-1.375,0.12,False,False,alpha,1,True
9,10,1.125,1.3125,0.1875,1.1875,-1.0,0.1579,False,False,alpha,1,True
10,10,1.125,1.875,0.75,4.75,-4.0,0.1579,False,False,alpha,1,True
11,10,1.125,1.25,0.125,1.0,-0.875,0.125,False,False,alpha,1,True
0,11,0.5625,0.25,-0.3125,-1.8125,1.5,0.1724,False,True,alpha,1,True
1,11,0.5625,0.8125,0.25,0.875,-0.625,0.2857,False,False,alpha,1,True
2,11,0.5625,0.5625,0.0,0.125,-0.125,0.0,False,False,alpha,1,True
3,11,0.5625,0.4375,-0.125,-0.5625,0.4375,0.2222,False,False,alpha,1,True
4,11,0.5625,1.375,0.8125,2.0625,-1.25,0.3939,False,False,alpha,1,True
5,11,0.5625,0.4375,-0.125,-0.375,0.25,0.3333,False,False,alpha,1,True
6,11,0.5625,0.625,0.0625,3.8125,-3.75,0.0164,False,False,alpha,1,True
7,11,0.5625,-0.1875,-0.75,-3.0625,2.3125,0.2449,True,True,alpha,1,True
8,11,0.5625,0.5625,0.0,1.9375,-1.9375,0.0,False,False,alpha,1,True
9,11,0.5625,0.6875,0.125,1.0,-0.875,0.125,False,False,alpha,1,True
10,11,0.5625,1.6875,1.125,5.75,-4.625,0.1957,False,False,alpha,1,True
11,11,0.5625,0.9375,0.375,2.0,-1.625,0.1875,False,False,alpha,1,True
0,12,0.6875,0.9375,0.25,0.8125,-0.5625,0.3077,False,False,alpha,1,True
1,12,0.6875,0.75,0.0625,0.25,-0.1875,0.25,False,False,alpha,1,True
2,12,0.6875,0.9375,0.25,0.875,-0.625,0.2857,False,False,alpha,1,True
3,12,0.6875,0.5625,-0.125,-0.4375,0.3125,0.2857,False,False,alpha,1,True
4,12,0.6875,1.6875,1.0,0.9375,0.0625,1.0667,False,False,alpha,1,True
5,12,0.6875,0.4375,-0.25,-0.75,0.5,0.3333,False,True,alpha,1,True
6,12,0.6875,0.8125,0.125,4.0,-3.875,0.0312,False,False,alpha,1,True
7,12,0.6875,0.1875,-0.5,-2.0625,1.5625,0.2424,False,True,alpha,1,True
8,12,0.6875,0.25,-0.4375,0.1875,-0.625,-2.3333,False,False,alpha,1,True
9,12,0.6875,0.5,-0.1875,-0.5625,0.375,0.3333,False,False,alpha,1,True
10,12,0.6875,2.0,1.3125,10.625,-9.3125,0.1235,False,False,alpha,1,True
11,12,0.6875,1.0,0.3125,1.375,-1.0625,0.2273,False,False,alpha,1,True
0,13,0.75,0.5625,-0.1875,-1.125,0.9375,0.1667,False,True,alpha,1,True
1,13,0.75,0.8125,0.0625,0.25,-0.1875,0.25,False,False,alpha,1,True
2,13,0.75,0.9375,0.1875,0.5,-0.3125,0.375,False,False,alpha,1,True
3,13,0.75,0.5625,-0.1875,-0.6875,0.5,0.2727,False,False,alpha,1,True
4,13,0.75,1.3125,0.5625,1.3125,-0.75,0.4286,False,False,alpha,1,True
5,13,0.75,0.5,-0.25,-0.625,0.375,0.4,False,False,alpha,1,True
6,13,0.75,1.0,0.25,6.625,-6.375,0.0377,False,False,alpha,1,True
7,13,0.75,0.0625,-0.6875,-2.625,1.9375,0.2619,False,True,alpha,1,True
8,13,0.75,0.5625,-0.1875,1.3125,-1.5,-0.1429,False,False,alpha,1,True
9,13,0.75,0.75,0.0,0.25,-0.25,0.0,False,False,alpha,1,True
10,13,0.75,1.5625,0.8125,6.3125,-5.5,0.1287,False,False,alpha,1,True
11,13,0.75,0.9375,0.1875,0.875,-0.6875,0.2143,False,False,alpha,1,True
0,14,1.0625,1.125,0.0625,0.0,0.0625,,False,False,alpha,1,True
1,14,1.0625,1.0625,0.0,-0.375,0.375,-0.0,False,False,alpha,1,True
2,14,1.0625,1.0625,0.0,-0.0625,0.0625,-0.0,False,False,alpha,1,True
3,14,1.0625,0.625,-0.4375,-1.3125,0.875,0.3333,False,True,alpha,1,True
4,14,1.0625,1.625,0.5625,0.6875,-0.125,0.8182,False,False,alpha,1,True
5,14,1.0625,0.8125,-0.25,-0.75,0.5,0.3333,False,False,alpha,1,True
6,14,1.0625,0.9375,-0.125,3.8125,-3.9375,-0.0328,False,False,alpha,1,True
7,14,1.0625,0.6875,-0.375,-1.5,1.125,0.25,False,True,alpha,1,True
8,14,1.0625,1.0,-0.0625,2.375,-2.4375,-0.0263,False,False,alpha,1,True
9,14,1.0625,1.125,0.0625,0.625,-0.5625,0.1,False,False,alpha,1,True
10,14,1.0625,2.0625,1.0,4.9375,-3.9375,0.2025,False,False,alpha,1,True
11,14,1.0625,1.3125,0.25,1.4375,-1.1875,0.1739,False,False,alpha,1,True
0,15,0.5,0.4375,-0.0625,-0.6875,0.625,0.0909,False,True,alpha,1,True
1,15,0.5,0.375,-0.125,-0.6875,0.5625,0.1818,False,True,alpha,1,True
2,15,0.5,0.5625,0.0625,0.3125,-0.25,0.2,False,False,alpha,1,True
3,15,0.5,0.5,0.0,-0.3125,0.3125,-0.0,False,False,alpha,1,True
4,15,0.5,0.5625,0.0625,1.875,-1.8125,0.0333,False,False,alpha,1,True
5,15,0.5,0.4375,-0.0625,-0.25,0.1875,0.25,False,False,alpha,1,True
6,15,0.5,0.9375,0.4375,6.75,-6.3125,0.0648,False,False,alpha,1,True
7,15,0.5,0.0625,-0.4375,-1.5625,1.125,0.28,False,True,alpha,1,True
8,15,0.5,-0.4375,-0.9375,-1.0,0.0625,0.9375,True,True,alpha,1,True
9,15,0.5,0.375,-0.125,-0.5625,0.4375,0.2222,False,True,alpha,1,True
10,15,0.5,1.5625,1.0625,4.625,-3.5625,0.2297,False,False,alpha,1,True
11,15,0.5,0.9375,0.4375,1.875,-1.4375,0.2333,False,False,alpha,1,True
0,16,0.8125,0.8125,0.0,0.0625,-0.0625,0.0,False,False,alpha,1,True
1,16,0.8125,1.125,0.3125,1.1875,-0.875,0.2632,False,False,alpha,1,True
2,16,0.8125,0.9375,0.125,0.5,-0.375,0.25,False,False,alpha,1,True
3,16,0.8125,0.75,-0.0625,-0.25,0.1875,0.25,False,False,alpha,1,True
4,16,0.8125,1.4375,0.625,0.75,-0.125,0.8333,False,False,alpha,1,True
5,16,0.8125,0.75,-0.0625,-0.1875,0.125,0.3333,False,False,alpha,1,True
6,16,0.8125,1.0,0.1875,5.25,-5.0625,0.0357,False,False,alpha,1,True
7,16,0.8125,0.1875,-0.625,-2.6875,2.0625,0.2326,False,True,alpha,1,True
8,16,0.8125,0.5,-0.3125,1.8125,-2.125,-0.1724,False,False,alpha,1,True
9,16,0.8125,0.5625,-0.25,-0.6875,0.4375,0.3636,False,False,alpha,1,True
10,16,0.8125,1.875,1.0625,8.3438,-7.2812,0.1273,False,False,alpha,1,True
11,16,0.8125,1.125,0.3125,1.75,-1.4375,0.1786,False,False,alpha,1,True
0,17,0.8125,0.875,0.0625,0.0625,0.0,1.0,False,False,alpha,1,True
1,17,0.8125,0.75,-0.0625,-0.1875,0.125,0.3333,False,False,alpha,1,True
2,17,0.8125,0.6875,-0.125,-0.3125,0.1875,0.4,False,False,alpha,1,True
3,17,0.8125,0.3125,-0.5,-1.4375,0.9375,0.3478,False,True,alpha,1,True
4,17,0.8125,1.5625,0.75,1.25,-0.5,0.6,False,False,alpha,1,True
5,17,0.8125,0.5625,-0.25,-0.6875,0.4375,0.3636,False,False,alpha,1,True
6,17,0.8125,0.6875,-0.125,4.25,-4.375,-0.0294,False,False,alpha,1,True
7,17,0.8125,0.5,-0.3125,-1.1875,0.875,0.2632,False,True,alpha,1,True
8,17,0.8125,0.6875,-0.125,1.6875,-1.8125,-0.0741,False,False,alpha,1,True
9,17,0.8125,1.0,0.1875,1.1875,-1.0,0.1579,False,False,alpha,1,True
10,17,0.8125,1.9375,1.125,6.3125,-5.1875,0.1782,False,False,alpha,1,True
11,17,0.8125,0.9375,0.125,0.8125,-0.6875,0.1538,False,False,alpha,1,True
0,18,1.0625,1.0625,0.0,-0.125,0.125,-0.0,False,False,alpha,1,True
1,18,1.0625,1.125,0.0625,0.1875,-0.125,0.3333,False,False,alpha,1,True
2,18,1.0625,1.1875,0.125,0.375,-0.25,0.3333,False,False,alpha,1,True
3,18,1.0625,0.8125,-0.25,-0.75,0.5,0.3333,False,False,alpha,1,True
4,18,1.0625,1.4375,0.375,0.5,-0.125,0.75,False,False,alpha,1,True
5,18,1.0625,0.875,-0.1875,-0.375,0.1875,0.5,False,False,alpha,1,True
6,18,1.0625,1.0,-0.0625,3.625,-3.6875,-0.0172,False,False,alpha,1,True
7,18,1.0625,0.375,-0.6875,-2.875,2.1875,0.2391,False,True,alpha,1,True
8,18,1.0625,0.8125,-0.25,0.3125,-0.5625,-0.8,False,False,alpha,1,True
9,18,1.0625,1.0,-0.0625,-0.1875,0.125,0.3333,False,False,alpha,1,True
10,18,1.0625,2.125,1.0625,6.625,-5.5625,0.1604,False,False,alpha,1,True
11,18,1.0625,1.3125,0.25,1.375,-1.125,0.1818,False,False,alpha,1,True
0,19,1.375,1.25,-0.125,-0.875,0.75,0.1429,False,False,alpha,1,True
1,19,1.375,1.4375,0.0625,0.3125,-0.25,0.2,False,False,alpha,1,True
2,19,1.375,1.3125,-0.0625,-0.125,0.0625,0.5,False,False,alpha,1,True
3,19,1.375,1.0625,-0.3125,-0.875,0.5625,0.3571,False,False,alpha,1,True
4,19,1.375,1.8125,0.4375,0.0,0.4375,,False,False,alpha,1,True
5,19,1.375,1.0625,-0.3125,-0.9375,0.625,0.3333,False,False,alpha,1,True
6,19,1.375,0.875,-0.5,-0.0625,-0.4375,8.0,False,False,alpha,1,True
7,19,1.375,0.75,-0.625,-2.5625,1.9375,0.2439,False,True,alpha,1,True
8,19,1.375,1.0,-0.375,-0.375,0.0,1.0,False,False,alpha,1,True
9,19,1.375,1.1875,-0.1875,-0.375,0.1875,0.5,False,False,alpha,1,True
10,19,1.375,2.125,0.75,5.6875,-4.9375,0.1319,False,False,alpha,1,True
11,19,1.375,1.4375,0.0625,0.5,-0.4375,0.125,False,False,alpha,1,True
0,20,1.5,1.625,0.125,-0.1875,0.3125,-0.6667,False,False,alpha,1,True
1,20,1.5,1.5,0.0,0.125,-0.125,0.0,False,False,alpha,1,True
2,20,1.5,1.5,0.0,-0.0625,0.0625,-0.0,False,False,alpha,1,True
3,20,1.5,1.25,-0.25,-0.8125,0.5625,0.3077,False,False,alpha,1,True
4,20,1.5,1.6875,0.1875,-0.5625,0.75,-0.3333,False,False,alpha,1,True
5,20,1.5,1.4375,-0.0625,-0.125,0.0625,0.5,False,False,alpha,1,True
6,20,1.5,1.25,-0.25,2.25,-2.5,-0.1111,False,False,alpha,1,True
7,20,1.5,1.0625,-0.4375,-2.0,1.5625,0.2188,False,True,alpha,1,True
8,20,1.5,1.1875,-0.3125,1.1875,-1.5,-0.2632,False,False,alpha,1,True
9,20,1.5,1.375,-0.125,-0.0625,-0.0625,2.0,False,False,alpha,1,True
10,20,1.5,2.0625,0.5625,4.375,-3.8125,0.1286,False,False,alpha,1,True
11,20,1.5,1.625,0.125,0.75,-0.625,0.1667,False,False,alpha,1,True
0,21,1.125,0.875,-0.25,-1.4375,1.1875,0.1739,False,True,alpha,1,True
1,21,1.125,0.9375,-0.1875,-0.875,0.6875,0.2143,False,False,alpha,1,True
2,21,1.125,1.125,0.0,-0.0625,0.0625,-0.0,False,False,alpha,1,True
3,21,1.125,0.9375,-0.1875,-0.75,0.5625,0.25,False,False,alpha,1,True
4,21,1.125,1.625,0.5,0.75,-0.25,0.6667,False,False,alpha,1,True
5,21,1.125,0.875,-0.25,-0.5625,0.3125,0.4444,False,False,alpha,1,True
6,21,1.125,1.125,0.0,4.1875,-4.1875,0.0,False,False,alpha,1,True
7,21,1.125,0.5,-0.625,-2.4375,1.8125,0.2564,False,True,alpha,1,True
8,21,1.125,1.0,-0.125,0.8125,-0.9375,-0.1538,False,False,alpha,1,True
9,21,1.125,1.25,0.125,0.5,-0.375,0.25,False,False,alpha,1,True
10,21,1.125,1.875,0.75,3.375,-2.625,0.2222,False,False,alpha,1,True
11,21,1.125,1.25,0.125,0.5625,-0.4375,0.2222,False,False,alpha,1,True
0,22,1.4375,1.5625,0.125,0.8125,-0.6875,0.1538,False,False,alpha,1,True
1,22,1.4375,1.5,0.0625,0.125,-0.0625,0.5,False,False,alpha,1,True
2,22,1.4375,1.6875,0.25,0.9375,-0.6875,0.2667,False,False,alpha,1,True
3,22,1.4375,1.375,-0.0625,-0.3125,0.25,0.2,False,False,alpha,1,True
4,22,1.4375,1.5625,0.125,1.375,-1.25,0.0909,False,False,alpha,1,True
5,22,1.4375,1.25,-0.1875,-0.5625,0.375,0.3333,False,False,alpha,1,True
6,22,1.4375,1.4375,0.0,4.625,-4.625,0.0,False,False,alpha,1,True
7,22,1.4375,0.9375,-0.5,-2.0,1.5,0.25,False,True,alpha,1,True
8,22,1.4375,1.1875,-0.25,-0.125,-0.125,2.0,False,False,alpha,1,True
9,22,1.4375,1.375,-0.0625,0.0,-0.0625,,False,False,alpha,1,True
10,22,1.4375,1.9375,0.5,2.75,-2.25,0.1818,False,False,alpha,1,True
11,22,1.4375,1.625,0.1875,0.6875,-0.5,0.2727,False,False,alpha,1,True
0,23,1.375,1.1875,-0.1875,-1.125,0.9375,0.1667,False,False,alpha,1,True
1,23,1.375,1.375,0.0,-0.0625,0.0625,-0.0,False,False,alpha,1,True
2,23,1.375,1.25,-0.125,-0.3125,0.1875,0.4,False,False,alpha,1,True
3,23,1.375,0.875,-0.5,-1.5,1.0,0.3333,False,True,alpha,1,True
4,23,1.375,1.5625,0.1875,-0.25,0.4375,-0.75,False,False,alpha,1,True
5,23,1.375,1.125,-0.25,-0.9375,0.6875,0.2667,False,False,alpha,1,True
6,23,1.375,1.0625,-0.3125,3.0,-3.3125,-0.1042,False,False,alpha,1,True
7,23,1.375,0.875,-0.5,-2.0625,1.5625,0.2424,False,True,alpha,1,True
8,23,1.375,1.125,-0.25,1.5625,-1.8125,-0.16,False,False,alpha,1,True
9,23,1.375,1.375,0.0,0.5,-0.5,0.0,False,False,alpha,1,True
10,23,1.375,2.0625,0.6875,3.6875,-3.0,0.1864,False,False,alpha,1,True
11,23,1.375,1.5625,0.1875,0.875,-0.6875,0.2143,False,False,alpha,1,True
0,24,1.125,0.8125,-0.3125,-1.4375,1.125,0.2174,False,True,alpha,1,True
1,24,1.125,1.125,0.0,0.25,-0.25,0.0,False,False,alpha,1,True
2,24,1.125,1.375,0.25,0.6875,-0.4375,0.3636,False,False,alpha,1,True
3,24,1.125,0.75,-0.375,-1.25,0.875,0.3,False,True,alpha,1,True
4,24,1.125,1.25,0.125,1.8125,-1.6875,0.069,False,False,alpha,1,True
5,24,1.125,1.125,0.0,-0.125,0.125,-0.0,False,False,alpha,1,True
6,24,1.125,1.375,0.25,6.4375,-6.1875,0.0388,False,False,alpha,1,True
7,24,1.125,0.625,-0.5,-2.3125,1.8125,0.2162,False,True,alpha,1,True
8,24,1.125,1.25,0.125,0.8125,-0.6875,0.1538,False,False,alpha,1,True
9,24,1.125,1.125,0.0,0.0625,-0.0625,0.0,False,False,alpha,1,True
10,24,1.125,1.75,0.625,2.4375,-1.8125,0.2564,False,False,alpha,1,True
11,24,1.125,1.0625,-0.0625,-0.1875,0.125,0.3333,False,False,alpha,1,True
0,25,0.5,0.0,-0.5,-2.25,1.75,0.2222,True,True,alpha,1,True
1,25,0.5,0.6875,0.1875,0.9375,-0.75,0.2,False,False,alpha,1,True
2,25,0.5,0.6875,0.1875,0.6875,-0.5,0.2727,False,False,alpha,1,True
3,25,0.5,0.125,-0.375,-1.0,0.625,0.375,False,True,alpha,1,True
4,25,0.5,0.75,0.25,1.1875,-0.9375,0.2105,False,False,alpha,1,True
5,25,0.5,0.5,0.0,-0.125,0.125,-0.0,False,False,alpha,1,True
6,25,0.5,0.8125,0.3125,5.3125,-5.0,0.0588,False,False,alpha,1,True
7,25,0.5,0.1875,-0.3125,-1.5,1.1875,0.2083,False,True,alpha,1,True
8,25,0.5,1.0,0.5,3.1875,-2.6875,0.1569,False,False,alpha,1,True
