prompt_idx,correct_answer,filter_property,wording_family,cluster_k4,cluster_k8,pca_x,pca_y
147,photon,massless_em_mediator,F4_contrast_implicit,1,1,0.03480849,0.33161336
148,photon,massless_em_mediator,F1_direct_implicit,0,7,-0.0047935857,0.029661525
149,electron,negative_charge_atomic,F4_contrast_implicit,0,7,0.14809367,-0.098497085
150,proton,positive_charge_atomic,F2_contextual_implicit,2,3,-0.16849282,-0.031705536
151,photon,massless_em_mediator,F2_contextual_implicit,1,1,-0.026197104,0.27663106
152,proton,positive_charge_atomic,F2_contextual_implicit,0,7,-0.022460073,-0.13467887
153,neutron,neutral_charge_atomic,F1_direct_implicit,3,4,0.22044995,0.048228476
154,neutron,neutral_charge_atomic,F2_contextual_implicit,0,5,-0.043364782,-0.04761735
155,neutron,nuclear_stability_provider,F2_contextual_implicit,0,0,0.1314142,-0.11040813
156,neutron,neutral_charge_atomic,F3_process_implicit,2,5,-0.13857679,0.019382924
157,neutron,nuclear_stability_provider,F3_process_implicit,2,5,-0.09678469,0.027094286
158,neutron,neutral_charge_atomic,F3_process_implicit,2,2,-0.37732536,-0.022349758
159,photon,em_quantum,F3_process_implicit,2,3,-0.23372547,-0.06520892
160,electron,negative_charge_atomic,F3_process_implicit,3,0,0.15913515,-0.0030415766
161,photon,massless_em_mediator,F3_process_implicit,2,3,-0.2396331,-0.11126491
162,photon,massless_em_mediator,F2_contextual_implicit,1,1,0.04169163,0.2587401
163,photon,massless_em_mediator,F3_process_implicit,2,5,-0.12169931,0.12569371
164,neutron,neutral_charge_atomic,F3_process_implicit,3,5,-0.030775249,0.014668602
165,photon,massless_em_mediator,F4_contrast_implicit,1,1,-0.14641036,0.34921074
166,neutron,neutral_charge_atomic,F3_process_implicit,3,4,0.108361505,0.11962407
167,photon,massless_em_mediator,F4_contrast_implicit,1,1,0.092934534,0.144987
168,proton,positive_charge_atomic,F2_contextual_implicit,0,0,0.014521875,-0.07920575
169,electron,negative_charge_atomic,F2_contextual_implicit,0,0,0.04986126,-0.11249736
170,neutron,neutral_charge_atomic,F2_contextual_implicit,3,0,0.17707062,-0.0599687
171,proton,positive_charge_atomic,F3_process_implicit,3,0,0.07156133,-0.07287509
172,neutron,neutral_charge_atomic,F3_process_implicit,3,0,0.085547775,0.009962713
173,photon,em_quantum,F4_contrast_implicit,1,7,0.018809764,0.064477116
174,neutron,nuclear_stability_provider,F3_process_implicit,3,0,0.031647656,-0.07137482
175,neutron,nuclear_stability_provider,F3_process_implicit,3,0,0.039715577,-0.036968812
176,photon,massless_em_mediator,F4_contrast_implicit,1,1,-0.038565874,0.45043936
177,photon,em_quantum,F3_process_implicit,2,3,-0.13471884,-0.070082486
178,neutron,neutral_charge_atomic,F3_process_implicit,0,0,0.09345499,-0.07722787
179,photon,massless_em_mediator,F2_contextual_implicit,2,2,-0.34524295,0.0033074548
180,photon,massless_em_mediator,F2_contextual_implicit,2,3,-0.2285672,-0.080891915
181,electron,negative_charge_atomic,F2_contextual_implicit,0,7,0.085496165,-0.07151854
182,neutron,nuclear_stability_provider,F4_contrast_implicit,3,4,0.09963564,0.048723493
183,proton,positive_charge_atomic,F2_contextual_implicit,0,0,-0.05695153,-0.1023505
184,neutron,neutral_charge_atomic,F4_contrast_implicit,3,6,0.09955189,-0.006472168
185,electron,negative_charge_atomic,F2_contextual_implicit,3,0,0.02275703,-0.038656827
186,photon,em_quantum,F4_contrast_implicit,3,6,0.22715051,-0.016462484
187,neutron,neutral_charge_atomic,F1_direct_implicit,3,4,0.098479256,-0.048792113
188,photon,massless_em_mediator,F2_contextual_implicit,0,3,-0.09712972,0.03227838
189,photon,massless_em_mediator,F3_process_implicit,2,3,-0.18648107,-0.13393265
190,neutron,nuclear_stability_provider,F2_contextual_implicit,0,0,0.13699716,-0.08467641
191,photon,massless_em_mediator,F1_direct_implicit,1,1,0.044037163,0.34420383
192,proton,positive_charge_atomic,F2_contextual_implicit,0,7,0.061592408,-0.12455617
193,photon,massless_em_mediator,F3_process_implicit,2,2,-0.33438665,-0.05701183
194,proton,positive_charge_atomic,F2_contextual_implicit,0,0,0.08682668,-0.06306064
195,photon,massless_em_mediator,F2_contextual_implicit,2,2,-0.33899826,-0.015143202
196,neutron,neutral_charge_atomic,F1_direct_implicit,3,4,0.08692794,0.00094022654
197,neutron,neutral_charge_atomic,F3_process_implicit,0,0,0.024678856,-0.07591738
198,photon,em_quantum,F2_contextual_implicit,3,5,-0.055415038,0.006668126
199,electron,negative_charge_atomic,F3_process_implicit,3,0,0.12360304,-0.091169275
200,proton,positive_charge_atomic,F2_contextual_implicit,0,0,-0.015728503,-0.1405199
201,photon,em_quantum,F2_contextual_implicit,0,7,-0.044020962,-0.04829391
202,neutron,neutral_charge_atomic,F3_process_implicit,3,0,0.08778192,-0.08449169
203,electron,negative_charge_atomic,F4_contrast_implicit,0,6,0.16300905,-0.07611154
204,proton,positive_charge_atomic,F3_process_implicit,0,5,-0.06330859,-0.06516903
205,proton,positive_charge_atomic,F4_contrast_implicit,3,6,0.20782685,0.025783852
206,proton,positive_charge_atomic,F4_contrast_implicit,0,6,0.16556667,-0.09456301
207,neutron,nuclear_stability_provider,F3_process_implicit,3,5,-0.0050402693,0.106174886
208,photon,em_quantum,F3_process_implicit,2,3,-0.15457435,-0.08584006
209,neutron,nuclear_stability_provider,F2_contextual_implicit,3,0,0.09762417,-0.07520908
210,neutron,nuclear_stability_provider,F2_contextual_implicit,2,3,-0.29081032,-0.105103366
211,proton,positive_charge_atomic,F3_process_implicit,2,3,-0.19821635,-0.10276538
212,photon,massless_em_mediator,F3_process_implicit,0,3,-0.14291525,-0.07027898
213,photon,em_quantum,F4_contrast_implicit,1,1,0.06491609,0.1522081
214,electron,negative_charge_atomic,F4_contrast_implicit,0,6,0.0880504,-0.068342485
215,proton,positive_charge_atomic,F3_process_implicit,3,0,0.008889859,-0.07370971
216,neutron,neutral_charge_atomic,F4_contrast_implicit,3,6,0.2347381,0.055818006
217,neutron,nuclear_stability_provider,F2_contextual_implicit,2,5,-0.16319814,0.15065286
218,electron,negative_charge_atomic,F1_direct_implicit,3,4,0.11122074,0.07871934
219,electron,negative_charge_atomic,F2_contextual_implicit,0,0,-0.0038019144,-0.06996716
220,neutron,neutral_charge_atomic,F4_contrast_implicit,3,6,0.14544374,-0.041300867
221,photon,massless_em_mediator,F4_contrast_implicit,2,2,-0.3326076,0.020136407
222,photon,em_quantum,F3_process_implicit,0,0,-0.014252222,-0.075939484
223,photon,em_quantum,F4_contrast_implicit,2,2,-0.28591076,0.17505758
224,electron,negative_charge_atomic,F2_contextual_implicit,3,0,0.053061366,-0.07873427
225,photon,em_quantum,F2_contextual_implicit,0,7,0.09440022,-0.057970658
226,photon,massless_em_mediator,F2_contextual_implicit,2,2,-0.4443208,0.21748194
227,photon,massless_em_mediator,F3_process_implicit,2,2,-0.3596303,0.0044731833
228,photon,em_quantum,F1_direct_implicit,0,6,0.15379466,-0.0027062355
229,proton,positive_charge_atomic,F4_contrast_implicit,3,6,0.17134167,-0.00076212495
230,neutron,nuclear_stability_provider,F4_contrast_implicit,3,6,0.081306376,-0.06096031
231,photon,em_quantum,F1_direct_implicit,0,7,0.031424683,-0.041446805
232,proton,positive_charge_atomic,F1_direct_implicit,0,7,0.0446968,-0.12395335
233,photon,em_quantum,F3_process_implicit,2,3,-0.23450537,-0.07252864
234,photon,em_quantum,F1_direct_implicit,0,3,-0.08541212,-0.08587711
235,photon,massless_em_mediator,F3_process_implicit,2,3,-0.17840903,-0.04268344
236,electron,negative_charge_atomic,F2_contextual_implicit,0,7,0.031664323,-0.068330206
237,proton,positive_charge_atomic,F3_process_implicit,3,0,0.09609918,0.0028440023
238,proton,positive_charge_atomic,F3_process_implicit,3,5,-0.010328323,-0.0075370655
239,neutron,neutral_charge_atomic,F4_contrast_implicit,3,6,0.1674027,0.14803925
240,photon,em_quantum,F2_contextual_implicit,0,0,0.009652418,-0.060184374
241,proton,positive_charge_atomic,F2_contextual_implicit,0,0,0.03234107,-0.020314375
242,photon,massless_em_mediator,F2_contextual_implicit,1,1,-0.016836325,0.13886471
243,neutron,neutral_charge_atomic,F2_contextual_implicit,0,7,0.15351069,-0.10650305
244,proton,positive_charge_atomic,F2_contextual_implicit,3,0,0.11937866,-0.056458097
245,photon,massless_em_mediator,F3_process_implicit,1,0,0.054999392,0.11373072
246,neutron,neutral_charge_atomic,F2_contextual_implicit,0,0,0.025225613,-0.030096723
247,photon,massless_em_mediator,F1_direct_implicit,1,1,0.13315551,0.13330069
248,photon,massless_em_mediator,F2_contextual_implicit,2,3,-0.26934874,-0.049997747
249,photon,em_quantum,F4_contrast_implicit,1,1,0.03563236,0.09828889
250,photon,massless_em_mediator,F2_contextual_implicit,1,1,0.022849787,0.22580856
251,photon,em_quantum,F3_process_implicit,2,2,-0.28648546,0.15234354
252,neutron,nuclear_stability_provider,F1_direct_implicit,3,4,0.21353084,0.04295004
253,photon,massless_em_mediator,F2_contextual_implicit,2,1,-0.16413009,0.18159309
254,neutron,nuclear_stability_provider,F2_contextual_implicit,3,4,0.0842798,0.011006097
255,photon,em_quantum,F2_contextual_implicit,0,7,0.04836783,-0.08232075
256,photon,em_quantum,F2_contextual_implicit,0,7,-0.0260687,-0.05403204
257,proton,positive_charge_atomic,F1_direct_implicit,3,4,0.19166793,0.0012215587
258,neutron,nuclear_stability_provider,F2_contextual_implicit,3,4,0.120290734,0.21595196
259,electron,negative_charge_atomic,F4_contrast_implicit,0,7,0.12011266,-0.0850373
260,electron,negative_charge_atomic,F4_contrast_implicit,3,6,0.15882032,0.036381602
261,photon,massless_em_mediator,F4_contrast_implicit,1,1,0.15738735,0.08200613
262,neutron,nuclear_stability_provider,F2_contextual_implicit,3,5,-0.011539838,0.05630871
263,electron,negative_charge_atomic,F3_process_implicit,2,3,-0.16174841,-0.10329216
264,photon,massless_em_mediator,F1_direct_implicit,1,1,-0.013042524,0.21379742
265,proton,positive_charge_atomic,F3_process_implicit,0,3,-0.14004025,-0.15844929
266,electron,negative_charge_atomic,F2_contextual_implicit,0,0,-0.057884846,-0.15291856
267,proton,positive_charge_atomic,F3_process_implicit,3,0,-0.00010559423,-0.031385586
268,proton,positive_charge_atomic,F4_contrast_implicit,3,6,0.102525,-0.04306789
269,photon,massless_em_mediator,F2_contextual_implicit,1,1,-0.18196571,0.42822325
270,neutron,nuclear_stability_provider,F4_contrast_implicit,3,4,0.19803716,0.06249183
271,electron,negative_charge_atomic,F1_direct_implicit,0,7,0.12613815,-0.091725
272,neutron,nuclear_stability_provider,F2_contextual_implicit,3,6,0.119007505,-0.027427875
273,neutron,neutral_charge_atomic,F1_direct_implicit,3,4,0.08930686,0.105907425
274,electron,negative_charge_atomic,F1_direct_implicit,3,4,0.13379344,-0.04365069
275,neutron,nuclear_stability_provider,F3_process_implicit,3,5,-0.04327913,-0.042719387
276,proton,positive_charge_atomic,F1_direct_implicit,3,4,0.19587502,-0.02304684
277,neutron,neutral_charge_atomic,F2_contextual_implicit,0,0,-0.000997235,-0.15317754
278,photon,massless_em_mediator,F3_process_implicit,2,2,-0.2854029,0.19282106
279,photon,massless_em_mediator,F3_process_implicit,2,3,-0.33906674,-0.10627201
280,photon,em_quantum,F2_contextual_implicit,0,7,0.022993214,-0.10428212
281,proton,positive_charge_atomic,F4_contrast_implicit,0,7,0.09915325,-0.10898743
282,electron,negative_charge_atomic,F3_process_implicit,0,7,-0.022541802,-0.078464955
283,neutron,nuclear_stability_provider,F2_contextual_implicit,2,3,-0.19375893,-0.10810445
284,proton,positive_charge_atomic,F2_contextual_implicit,0,0,0.08845826,-0.09493712
285,neutron,nuclear_stability_provider,F2_contextual_implicit,2,5,-0.18657163,0.0346912
286,photon,massless_em_mediator,F2_contextual_implicit,1,1,-0.05189429,0.24595955
287,electron,negative_charge_atomic,F1_direct_implicit,3,4,0.1360326,-0.02032421
288,photon,em_quantum,F4_contrast_implicit,3,6,0.15667441,0.037808985
289,proton,positive_charge_atomic,F1_direct_implicit,3,4,0.13560753,-0.029872606
290,neutron,neutral_charge_atomic,F4_contrast_implicit,3,6,0.14699288,-0.052311376
291,photon,massless_em_mediator,F2_contextual_implicit,1,1,0.011241451,0.11443226
292,photon,massless_em_mediator,F4_contrast_implicit,1,1,0.12642194,0.2426055
293,photon,massless_em_mediator,F3_process_implicit,0,0,-0.047345173,0.051940907
294,photon,massless_em_mediator,F3_process_implicit,2,5,-0.15213352,0.007184884
295,photon,massless_em_mediator,F2_contextual_implicit,2,2,-0.40380728,0.0981585
296,electron,negative_charge_atomic,F3_process_implicit,0,7,0.057443827,-0.10509765
297,electron,negative_charge_atomic,F1_direct_implicit,3,4,0.14673142,-0.03817652
298,neutron,nuclear_stability_provider,F4_contrast_implicit,3,6,0.127367,-0.06679234
299,proton,positive_charge_atomic,F3_process_implicit,0,0,-0.006553188,-0.091859765
300,neutron,nuclear_stability_provider,F3_process_implicit,0,7,-0.035087153,-0.076701164
301,neutron,nuclear_stability_provider,F1_direct_implicit,0,7,0.03271983,-0.0732119
302,neutron,neutral_charge_atomic,F3_process_implicit,3,5,0.052477874,0.091341585
303,neutron,neutral_charge_atomic,F3_process_implicit,3,4,0.034191865,0.07091577
304,electron,negative_charge_atomic,F2_contextual_implicit,0,7,-0.04583104,-0.18362433
305,photon,em_quantum,F2_contextual_implicit,0,7,0.11465709,-0.11453556
306,photon,massless_em_mediator,F3_process_implicit,0,0,-0.05407404,-0.034035802
307,photon,massless_em_mediator,F3_process_implicit,2,2,-0.3103816,-0.019100137
308,electron,negative_charge_atomic,F4_contrast_implicit,3,0,-0.0011659283,-0.020281708
309,electron,negative_charge_atomic,F3_process_implicit,3,5,-0.0008104817,0.0045829276
310,electron,negative_charge_atomic,F2_contextual_implicit,0,7,-0.013027443,-0.15089203
311,electron,negative_charge_atomic,F3_process_implicit,3,0,-0.009186606,-0.024269285
312,neutron,nuclear_stability_provider,F2_contextual_implicit,0,7,0.047536246,-0.1128752
313,neutron,nuclear_stability_provider,F2_contextual_implicit,2,5,-0.22065178,0.1787381
314,electron,negative_charge_atomic,F4_contrast_implicit,0,7,0.033168774,-0.15710466
315,photon,em_quantum,F3_process_implicit,2,3,-0.26582262,-0.09397192
316,photon,massless_em_mediator,F2_contextual_implicit,1,1,0.093958065,0.14079161
317,neutron,neutral_charge_atomic,F3_process_implicit,2,3,-0.1576366,-0.049814664
318,photon,em_quantum,F1_direct_implicit,0,7,-0.012452142,-0.062256638
319,neutron,neutral_charge_atomic,F4_contrast_implicit,3,6,0.16234513,0.025971677
320,photon,em_quantum,F1_direct_implicit,1,4,0.08490464,0.1396228
321,proton,positive_charge_atomic,F3_process_implicit,2,3,-0.1165008,-0.058382638
322,neutron,nuclear_stability_provider,F3_process_implicit,3,0,-0.023173315,-0.042559594
323,photon,massless_em_mediator,F3_process_implicit,2,2,-0.46018255,0.07070046
324,proton,positive_charge_atomic,F3_process_implicit,3,0,0.056280646,-0.011097091
325,photon,massless_em_mediator,F4_contrast_implicit,1,1,0.0056965565,0.17679706
326,photon,massless_em_mediator,F2_contextual_implicit,0,0,-0.01465954,0.024686186
327,electron,negative_charge_atomic,F4_contrast_implicit,3,0,0.0027636033,0.033447515
328,neutron,neutral_charge_atomic,F4_contrast_implicit,3,6,0.16841982,-0.028067773
