prompt_idx,correct_answer,filter_property,wording_family,first_rank1_layer,final_rank,final_margin,final_entropy,mean_margin_L10_13,mean_margin_L22_25,margin_increase
24,electron,negative_charge_atomic,F2_contextual_implicit,10,2.0,-3.4375,0.7401726245880127,0.0,-3.669921875,-3.669921875
25,photon,em_quantum,F4_contrast_implicit,10,0.0,3.59375,0.15645158290863037,0.0,-0.87890625,-0.87890625
26,proton,positive_charge_atomic,F4_contrast_implicit,10,2.0,-4.90625,0.26805633306503296,0.0,-5.47265625,-5.47265625
27,proton,positive_charge_atomic,F4_contrast_implicit,10,2.0,-4.6875,0.27576881647109985,0.0,-5.70703125,-5.70703125
28,photon,massless_em_mediator,F2_contextual_implicit,10,0.0,2.55078125,0.3744982182979584,0.0,3.0087890625,3.0087890625
29,electron,negative_charge_atomic,F4_contrast_implicit,10,2.0,-1.6875,1.150103211402893,0.0,-4.75390625,-4.75390625
30,proton,positive_charge_atomic,F2_contextual_implicit,10,2.0,-4.34375,0.5044373273849487,0.0,-5.76171875,-5.76171875
31,electron,negative_charge_atomic,F1_direct_implicit,10,1.0,-0.361328125,1.3726552724838257,0.0,-4.94580078125,-4.94580078125
32,electron,negative_charge_atomic,F1_direct_implicit,10,2.0,-2.234375,1.0278621912002563,0.0,-5.69921875,-5.69921875
33,proton,positive_charge_atomic,F1_direct_implicit,10,2.0,-2.390625,0.967711865901947,0.0,-6.60546875,-6.60546875
34,photon,massless_em_mediator,F2_contextual_implicit,10,0.0,1.515625,0.528111457824707,0.0,1.1015625,1.1015625
35,photon,em_quantum,F3_process_implicit,10,1.0,-3.5947265625,0.3231741189956665,0.0,-2.093994140625,-2.093994140625
36,neutron,nuclear_stability_provider,F1_direct_implicit,10,0.0,1.4765625,0.5962657928466797,0.0,3.197265625,3.197265625
37,neutron,neutral_charge_atomic,F3_process_implicit,10,0.0,1.390625,0.6975522041320801,0.0,3.0703125,3.0703125
38,neutron,nuclear_stability_provider,F3_process_implicit,10,0.0,2.78125,0.40039366483688354,0.0,1.662109375,1.662109375
39,proton,positive_charge_atomic,F4_contrast_implicit,10,2.0,-3.390625,0.5940148830413818,0.0,-5.33984375,-5.33984375
40,proton,positive_charge_atomic,F4_contrast_implicit,10,2.0,-5.5625,0.11842383444309235,0.0,-4.55078125,-4.55078125
41,electron,negative_charge_atomic,F1_direct_implicit,10,2.0,-0.625,1.3504981994628906,0.0,-5.71484375,-5.71484375
42,electron,negative_charge_atomic,F3_process_implicit,10,2.0,-3.078125,0.8819980621337891,0.0,-5.125,-5.125
43,photon,em_quantum,F3_process_implicit,10,1.0,-0.546875,0.7955261468887329,0.0,1.55419921875,1.55419921875
44,neutron,neutral_charge_atomic,F3_process_implicit,10,0.0,1.03125,0.8558577299118042,0.0,1.5859375,1.5859375
45,neutron,nuclear_stability_provider,F3_process_implicit,10,0.0,1.783203125,0.6910927295684814,0.0,3.61767578125,3.61767578125
46,neutron,neutral_charge_atomic,F1_direct_implicit,10,0.0,1.712890625,0.9091885089874268,0.0,3.12548828125,3.12548828125
47,photon,massless_em_mediator,F4_contrast_implicit,10,0.0,4.75,0.06392164528369904,0.0,0.0927734375,0.0927734375
48,electron,negative_charge_atomic,F4_contrast_implicit,10,2.0,-4.375,0.7072663903236389,0.0,-5.66796875,-5.66796875
49,photon,em_quantum,F1_direct_implicit,10,1.0,-1.640625,0.8387550115585327,0.0,-2.0869140625,-2.0869140625
50,neutron,nuclear_stability_provider,F4_contrast_implicit,10,0.0,4.5234375,0.08331736922264099,0.0,3.142578125,3.142578125
51,proton,positive_charge_atomic,F2_contextual_implicit,10,2.0,-2.484375,0.8764878511428833,0.0,-4.99609375,-4.99609375
52,neutron,nuclear_stability_provider,F3_process_implicit,10,1.0,-0.05859375,0.825225830078125,0.0,4.2783203125,4.2783203125
53,photon,massless_em_mediator,F1_direct_implicit,10,0.0,6.5625,0.014113950543105602,0.0,-0.71875,-0.71875
54,electron,negative_charge_atomic,F2_contextual_implicit,10,2.0,-1.9921875,1.0816398859024048,0.0,-3.416015625,-3.416015625
55,electron,negative_charge_atomic,F3_process_implicit,10,2.0,-2.796875,0.8949296474456787,0.0,-5.55859375,-5.55859375
56,neutron,neutral_charge_atomic,F2_contextual_implicit,10,1.0,-1.765625,0.8341307640075684,0.0,1.9814453125,1.9814453125
57,neutron,nuclear_stability_provider,F3_process_implicit,10,0.0,1.4375,0.7303739786148071,0.0,4.90625,4.90625
58,photon,massless_em_mediator,F3_process_implicit,10,1.0,-2.919921875,0.3504912555217743,0.0,-3.18310546875,-3.18310546875
59,photon,em_quantum,F4_contrast_implicit,10,0.0,0.6953125,0.7920949459075928,0.0,0.212890625,0.212890625
60,proton,positive_charge_atomic,F2_contextual_implicit,10,2.0,-4.46875,0.4216978847980499,0.0,-4.86328125,-4.86328125
61,neutron,neutral_charge_atomic,F2_contextual_implicit,10,0.0,3.3046875,0.21785148978233337,0.0,2.419921875,2.419921875
62,photon,em_quantum,F2_contextual_implicit,10,1.0,-0.5625,1.0367671251296997,0.0,-1.15234375,-1.15234375
63,photon,em_quantum,F2_contextual_implicit,10,1.0,-2.375,0.7642561197280884,0.0,-1.28515625,-1.28515625
64,proton,positive_charge_atomic,F3_process_implicit,10,2.0,-6.90625,0.09808394312858582,0.0,-4.4609375,-4.4609375
65,photon,em_quantum,F2_contextual_implicit,10,0.0,1.06640625,1.0985153913497925,0.0,-0.3076171875,-0.3076171875
66,proton,positive_charge_atomic,F3_process_implicit,10,2.0,-6.21875,0.088630810379982,0.0,-7.53125,-7.53125
67,photon,em_quantum,F4_contrast_implicit,10,0.0,1.84375,0.5040229558944702,0.0,1.19140625,1.19140625
68,neutron,neutral_charge_atomic,F2_contextual_implicit,10,0.0,0.390625,1.0042266845703125,0.0,2.26953125,2.26953125
69,photon,em_quantum,F3_process_implicit,10,1.0,-1.0859375,0.9139639735221863,0.0,-1.056640625,-1.056640625
70,proton,positive_charge_atomic,F4_contrast_implicit,10,2.0,-5.21875,0.15700297057628632,0.0,-4.4130859375,-4.4130859375
71,proton,positive_charge_atomic,F2_contextual_implicit,10,2.0,-4.21875,0.6785786151885986,0.0,-4.47265625,-4.47265625
72,electron,negative_charge_atomic,F4_contrast_implicit,10,2.0,-4.46875,0.465989351272583,0.0,-4.25390625,-4.25390625
73,neutron,neutral_charge_atomic,F4_contrast_implicit,10,1.0,-9.04296875,0.00259036710485816,0.0,-0.9912109375,-0.9912109375
74,proton,positive_charge_atomic,F3_process_implicit,10,1.0,-4.4375,0.1868944615125656,0.0,-4.03125,-4.03125
75,photon,em_quantum,F4_contrast_implicit,10,0.0,1.44140625,0.605808436870575,0.0,-1.2763671875,-1.2763671875
76,neutron,nuclear_stability_provider,F1_direct_implicit,10,0.0,2.416015625,0.5406572222709656,0.0,2.40283203125,2.40283203125
77,photon,em_quantum,F3_process_implicit,10,1.0,-2.5234375,0.4015616178512573,0.0,0.58154296875,0.58154296875
78,photon,em_quantum,F3_process_implicit,10,0.0,0.171875,0.756633996963501,0.0,0.345703125,0.345703125
79,photon,massless_em_mediator,F4_contrast_implicit,10,0.0,6.9921875,0.021978458389639854,0.0,1.958984375,1.958984375
80,neutron,nuclear_stability_provider,F4_contrast_implicit,10,0.0,4.828125,0.08843355625867844,0.0,4.08203125,4.08203125
81,neutron,neutral_charge_atomic,F4_contrast_implicit,10,0.0,5.3515625,0.0460948720574379,0.0,3.185546875,3.185546875
82,photon,em_quantum,F2_contextual_implicit,10,1.0,-0.9921875,0.9223614931106567,0.0,0.107421875,0.107421875
83,neutron,neutral_charge_atomic,F4_contrast_implicit,10,0.0,2.1171875,0.5536717772483826,0.0,2.041015625,2.041015625
84,electron,negative_charge_atomic,F4_contrast_implicit,10,2.0,-4.125,0.5191676616668701,0.0,-4.310546875,-4.310546875
85,proton,positive_charge_atomic,F4_contrast_implicit,10,2.0,-4.28125,0.513184666633606,0.0,-4.94921875,-4.94921875
86,neutron,nuclear_stability_provider,F4_contrast_implicit,10,0.0,3.8828125,0.16666829586029053,0.0,3.427734375,3.427734375
87,neutron,neutral_charge_atomic,F3_process_implicit,10,1.0,-0.13671875,1.1069340705871582,0.0,0.4501953125,0.4501953125
88,neutron,nuclear_stability_provider,F3_process_implicit,10,0.0,2.0,0.47700655460357666,0.0,-0.1640625,-0.1640625
89,proton,positive_charge_atomic,F2_contextual_implicit,10,2.0,-3.65625,0.6800242066383362,0.0,-5.5703125,-5.5703125
90,neutron,neutral_charge_atomic,F4_contrast_implicit,10,0.0,3.3515625,0.2860080301761627,0.0,4.119140625,4.119140625
91,photon,em_quantum,F2_contextual_implicit,10,1.0,-0.28125,1.10886812210083,0.0,1.025390625,1.025390625
92,photon,massless_em_mediator,F3_process_implicit,10,0.0,0.9375,0.7432268261909485,0.0,1.410400390625,1.410400390625
93,neutron,neutral_charge_atomic,F4_contrast_implicit,10,0.0,3.6640625,0.17461934685707092,0.0,2.255859375,2.255859375
94,electron,negative_charge_atomic,F3_process_implicit,10,2.0,-3.765625,0.654609739780426,0.0,-7.17578125,-7.17578125
95,neutron,nuclear_stability_provider,F3_process_implicit,10,0.0,3.4765625,0.2328561693429947,0.0,1.302734375,1.302734375
96,photon,massless_em_mediator,F2_contextual_implicit,10,0.0,2.109375,0.40005365014076233,0.0,0.09375,0.09375
97,neutron,neutral_charge_atomic,F4_contrast_implicit,10,0.0,0.71875,0.809496283531189,0.0,3.46875,3.46875
98,electron,negative_charge_atomic,F3_process_implicit,10,2.0,-2.8125,0.9183857440948486,0.0,-6.8828125,-6.8828125
99,neutron,neutral_charge_atomic,F2_contextual_implicit,10,0.0,4.2734375,0.12277378141880035,0.0,3.00390625,3.00390625
100,proton,positive_charge_atomic,F3_process_implicit,10,2.0,-4.5625,0.3729892373085022,0.0,-5.3046875,-5.3046875
101,proton,positive_charge_atomic,F2_contextual_implicit,10,2.0,-5.84375,0.20586799085140228,0.0,-6.3828125,-6.3828125
102,neutron,nuclear_stability_provider,F4_contrast_implicit,10,0.0,0.5234375,0.9797329902648926,0.0,2.267578125,2.267578125
103,proton,positive_charge_atomic,F1_direct_implicit,10,1.0,-4.3125,0.2060757577419281,0.0,-4.5546875,-4.5546875
104,electron,negative_charge_atomic,F2_contextual_implicit,10,2.0,-2.1875,0.9345574975013733,0.0,-4.4296875,-4.4296875
105,neutron,neutral_charge_atomic,F3_process_implicit,10,1.0,-0.201171875,0.8075536489486694,0.0,3.07666015625,3.07666015625
106,neutron,neutral_charge_atomic,F4_contrast_implicit,10,0.0,2.28125,0.45962706208229065,0.0,3.2890625,3.2890625
107,electron,negative_charge_atomic,F4_contrast_implicit,10,2.0,-4.875,0.5112116932868958,0.0,-3.736328125,-3.736328125
108,neutron,neutral_charge_atomic,F3_process_implicit,10,0.0,0.9375,0.8434412479400635,0.0,3.55078125,3.55078125
109,photon,massless_em_mediator,F2_contextual_implicit,10,0.0,5.6796875,0.04449576139450073,0.0,1.388671875,1.388671875
110,neutron,neutral_charge_atomic,F4_contrast_implicit,10,0.0,3.0546875,0.30087918043136597,0.0,2.904296875,2.904296875
111,electron,negative_charge_atomic,F3_process_implicit,10,2.0,-4.0703125,0.7058897018432617,0.0,-6.333984375,-6.333984375
112,electron,negative_charge_atomic,F2_contextual_implicit,10,2.0,-2.765625,0.6426949501037598,0.0,-4.7265625,-4.7265625
113,neutron,nuclear_stability_provider,F2_contextual_implicit,10,0.0,0.58984375,1.0056458711624146,0.0,2.8916015625,2.8916015625
114,neutron,neutral_charge_atomic,F4_contrast_implicit,10,0.0,4.029296875,0.14955489337444305,0.0,3.49560546875,3.49560546875
115,photon,em_quantum,F2_contextual_implicit,10,1.0,-0.265625,0.895431637763977,0.0,0.0,0.0
116,electron,negative_charge_atomic,F4_contrast_implicit,10,1.0,-0.9296875,1.2851848602294922,0.0,-5.271484375,-5.271484375
117,electron,negative_charge_atomic,F2_contextual_implicit,10,2.0,-3.921875,0.31603115797042847,0.0,-4.0859375,-4.0859375
118,electron,negative_charge_atomic,F4_contrast_implicit,10,2.0,-2.578125,0.8978949785232544,0.0,-5.05078125,-5.05078125
119,neutron,neutral_charge_atomic,F3_process_implicit,10,0.0,0.65625,0.902427077293396,0.0,1.31640625,1.31640625
120,neutron,neutral_charge_atomic,F2_contextual_implicit,10,0.0,0.296875,1.0648607015609741,0.0,2.134765625,2.134765625
121,neutron,nuclear_stability_provider,F2_contextual_implicit,10,0.0,3.408203125,0.3496142029762268,0.0,2.21533203125,2.21533203125
122,photon,em_quantum,F4_contrast_implicit,10,0.0,0.03125,0.7642385959625244,0.0,-0.90234375,-0.90234375
123,photon,massless_em_mediator,F4_contrast_implicit,10,0.0,5.53125,0.050989631563425064,0.0,1.6953125,1.6953125
124,neutron,nuclear_stability_provider,F2_contextual_implicit,10,0.0,1.109375,1.0257680416107178,0.0,2.1268310546875,2.1268310546875
125,neutron,neutral_charge_atomic,F4_contrast_implicit,10,1.0,-0.51171875,0.8486441373825073,0.0,2.7548828125,2.7548828125
126,electron,negative_charge_atomic,F4_contrast_implicit,10,2.0,-2.21875,0.8838077187538147,0.0,-4.31640625,-4.31640625
127,photon,em_quantum,F2_contextual_implicit,10,0.0,2.328125,0.6058788895606995,0.0,2.15185546875,2.15185546875
128,photon,massless_em_mediator,F2_contextual_implicit,10,0.0,1.5625,0.6872808337211609,0.0,0.3193359375,0.3193359375
129,electron,negative_charge_atomic,F2_contextual_implicit,10,2.0,-2.15625,1.0334358215332031,0.0,-4.65234375,-4.65234375
130,photon,em_quantum,F3_process_implicit,10,1.0,-2.0625,0.6130926609039307,0.0,-0.99609375,-0.99609375
131,neutron,nuclear_stability_provider,F3_process_implicit,10,0.0,0.1640625,1.1830620765686035,0.0,3.486328125,3.486328125
132,photon,em_quantum,F2_contextual_implicit,10,0.0,0.8515625,0.7499258518218994,0.0,-2.33984375,-2.33984375
133,neutron,nuclear_stability_provider,F3_process_implicit,10,0.0,1.2265625,1.023383378982544,0.0,3.306640625,3.306640625
134,neutron,neutral_charge_atomic,F2_contextual_implicit,10,0.0,1.265625,0.6992250680923462,0.0,1.984130859375,1.984130859375
135,proton,positive_charge_atomic,F3_process_implicit,10,2.0,-2.9375,0.7181926965713501,0.0,-5.05078125,-5.05078125
136,neutron,nuclear_stability_provider,F4_contrast_implicit,10,0.0,0.5625,0.9115415215492249,0.0,0.1953125,0.1953125
137,proton,positive_charge_atomic,F4_contrast_implicit,10,2.0,-3.40625,0.7146267890930176,0.0,-5.6484375,-5.6484375
138,neutron,neutral_charge_atomic,F1_direct_implicit,10,1.0,-2.078125,0.4513183832168579,0.0,3.1640625,3.1640625
139,electron,negative_charge_atomic,F2_contextual_implicit,10,2.0,-4.5,0.40780991315841675,0.0,-5.546875,-5.546875
140,electron,negative_charge_atomic,F3_process_implicit,10,2.0,-3.078125,0.8810679316520691,0.0,-4.41015625,-4.41015625
141,electron,negative_charge_atomic,F4_contrast_implicit,10,2.0,-2.921875,0.8576900362968445,0.0,-3.421875,-3.421875
142,neutron,neutral_charge_atomic,F2_contextual_implicit,10,0.0,3.859375,0.20785634219646454,0.0,1.98046875,1.98046875
143,electron,negative_charge_atomic,F3_process_implicit,10,2.0,-4.90625,0.27729660272598267,0.0,-6.2578125,-6.2578125
144,proton,positive_charge_atomic,F4_contrast_implicit,10,2.0,-5.09375,0.20909811556339264,0.0,-6.265625,-6.265625
145,photon,em_quantum,F4_contrast_implicit,10,0.0,2.2421875,0.4349125623703003,0.0,-0.625,-0.625
146,neutron,nuclear_stability_provider,F4_contrast_implicit,10,1.0,-0.6328125,1.13680100440979,0.0,1.958984375,1.958984375
147,photon,massless_em_mediator,F4_contrast_implicit,10,0.0,7.390625,0.01103680208325386,0.0,0.921875,0.921875
148,photon,massless_em_mediator,F1_direct_implicit,10,0.0,1.5,0.6376832127571106,0.0,-1.59765625,-1.59765625
149,electron,negative_charge_atomic,F4_contrast_implicit,10,2.0,-4.71875,0.1639830321073532,0.0,-4.73046875,-4.73046875
150,proton,positive_charge_atomic,F2_contextual_implicit,10,2.0,-3.5390625,0.7784781455993652,0.0,-4.908203125,-4.908203125
151,photon,massless_em_mediator,F2_contextual_implicit,10,0.0,3.671875,0.147278293967247,0.0,0.859375,0.859375
152,proton,positive_charge_atomic,F2_contextual_implicit,10,2.0,-4.25,0.6648253798484802,0.0,-5.140625,-5.140625
153,neutron,neutral_charge_atomic,F1_direct_implicit,10,0.0,1.4296875,0.8335465788841248,0.0,3.904296875,3.904296875
154,neutron,neutral_charge_atomic,F2_contextual_implicit,10,1.0,-0.9404296875,0.8221040368080139,0.0,1.577392578125,1.577392578125
155,neutron,nuclear_stability_provider,F2_contextual_implicit,10,0.0,1.55859375,0.8444329500198364,0.0,2.4931640625,2.4931640625
156,neutron,neutral_charge_atomic,F3_process_implicit,10,0.0,1.703125,0.7111662030220032,0.0,2.5859375,2.5859375
157,neutron,nuclear_stability_provider,F3_process_implicit,10,1.0,-1.671875,1.0497288703918457,0.0,1.37255859375,1.37255859375
158,neutron,neutral_charge_atomic,F3_process_implicit,10,0.0,1.8125,0.44383737444877625,0.0,-0.14453125,-0.14453125
159,photon,em_quantum,F3_process_implicit,10,1.0,-3.078125,0.3342081904411316,0.0,-0.1953125,-0.1953125
160,electron,negative_charge_atomic,F3_process_implicit,10,2.0,-5.0,0.32082855701446533,0.0,-7.6953125,-7.6953125
161,photon,massless_em_mediator,F3_process_implicit,10,0.0,2.6484375,0.4864894449710846,0.0,1.599609375,1.599609375
162,photon,massless_em_mediator,F2_contextual_implicit,10,0.0,5.6328125,0.04141240566968918,0.0,0.587890625,0.587890625
163,photon,massless_em_mediator,F3_process_implicit,10,0.0,2.7734375,0.3452531099319458,0.0,-1.978515625,-1.978515625
164,neutron,neutral_charge_atomic,F3_process_implicit,10,1.0,-0.8203125,1.233344554901123,0.0,2.443359375,2.443359375
165,photon,massless_em_mediator,F4_contrast_implicit,10,0.0,7.23828125,0.012420028448104858,0.0,2.5673828125,2.5673828125
166,neutron,neutral_charge_atomic,F3_process_implicit,10,0.0,0.390625,0.7833331227302551,0.0,4.4140625,4.4140625
167,photon,massless_em_mediator,F4_contrast_implicit,10,0.0,1.6171875,0.5484495759010315,0.0,0.119140625,0.119140625
168,proton,positive_charge_atomic,F2_contextual_implicit,10,2.0,-5.96875,0.345862478017807,0.0,-5.55078125,-5.55078125
169,electron,negative_charge_atomic,F2_contextual_implicit,10,2.0,-5.25,0.14741964638233185,0.0,-6.28125,-6.28125
170,neutron,neutral_charge_atomic,F2_contextual_implicit,10,0.0,4.95703125,0.08383407443761826,0.0,4.1767578125,4.1767578125
171,proton,positive_charge_atomic,F3_process_implicit,10,2.0,-4.25,0.3055765926837921,0.0,-6.390625,-6.390625
172,neutron,neutral_charge_atomic,F3_process_implicit,10,1.0,-0.03515625,0.9247682690620422,0.0,2.3037109375,2.3037109375
173,photon,em_quantum,F4_contrast_implicit,10,0.0,1.03125,0.8201349377632141,0.0,1.36328125,1.36328125
174,neutron,nuclear_stability_provider,F3_process_implicit,10,0.0,2.2578125,0.5471122860908508,0.0,3.541015625,3.541015625
175,neutron,nuclear_stability_provider,F3_process_implicit,10,0.0,2.708984375,0.4493338465690613,0.0,3.00146484375,3.00146484375
176,photon,massless_em_mediator,F4_contrast_implicit,10,0.0,8.796875,0.004442096687853336,0.0,1.58203125,1.58203125
177,photon,em_quantum,F3_process_implicit,10,0.0,3.25,0.4486951529979706,0.0,1.7421875,1.7421875
178,neutron,neutral_charge_atomic,F3_process_implicit,10,0.0,3.0390625,0.328226774930954,0.0,3.447265625,3.447265625
179,photon,massless_em_mediator,F2_contextual_implicit,10,1.0,-0.423828125,0.9255268573760986,0.0,1.14013671875,1.14013671875
180,photon,massless_em_mediator,F2_contextual_implicit,10,0.0,2.39453125,0.37178006768226624,0.0,0.4365234375,0.4365234375
181,electron,negative_charge_atomic,F2_contextual_implicit,10,2.0,-2.390625,0.9925533533096313,0.0,-3.9609375,-3.9609375
182,neutron,nuclear_stability_provider,F4_contrast_implicit,10,1.0,-0.109375,1.0200695991516113,0.0,3.82421875,3.82421875
183,proton,positive_charge_atomic,F2_contextual_implicit,10,2.0,-3.046875,0.7265200614929199,0.0,-4.79296875,-4.79296875
184,neutron,neutral_charge_atomic,F4_contrast_implicit,10,0.0,3.359375,0.3617151379585266,0.0,2.85546875,2.85546875
185,electron,negative_charge_atomic,F2_contextual_implicit,10,2.0,-4.0,0.37245824933052063,0.0,-6.9609375,-6.9609375
186,photon,em_quantum,F4_contrast_implicit,10,1.0,-4.828125,0.08521862328052521,0.0,-4.484375,-4.484375
187,neutron,neutral_charge_atomic,F1_direct_implicit,10,0.0,1.6015625,0.9879992008209229,0.0,2.400390625,2.400390625
188,photon,massless_em_mediator,F2_contextual_implicit,10,0.0,1.484375,0.5133349299430847,0.0,0.5390625,0.5390625
189,photon,massless_em_mediator,F3_process_implicit,10,1.0,-2.046875,0.39509034156799316,0.0,-0.24462890625,-0.24462890625
190,neutron,nuclear_stability_provider,F2_contextual_implicit,10,0.0,2.296875,0.4719823896884918,0.0,2.5859375,2.5859375
191,photon,massless_em_mediator,F1_direct_implicit,10,0.0,10.890625,0.0006646220572292805,0.0,0.130859375,0.130859375
192,proton,positive_charge_atomic,F2_contextual_implicit,10,1.0,-6.53125,0.03278942406177521,0.0,-4.84765625,-4.84765625
193,photon,massless_em_mediator,F3_process_implicit,10,0.0,1.53515625,0.6701934933662415,0.0,0.42626953125,0.42626953125
194,proton,positive_charge_atomic,F2_contextual_implicit,10,2.0,-4.6875,0.2291155457496643,0.0,-6.296875,-6.296875
195,photon,massless_em_mediator,F2_contextual_implicit,10,1.0,-3.0703125,0.2321845442056656,0.0,0.072265625,0.072265625
196,neutron,neutral_charge_atomic,F1_direct_implicit,10,0.0,2.03125,0.4855049252510071,0.0,3.38671875,3.38671875
197,neutron,neutral_charge_atomic,F3_process_implicit,10,0.0,2.3984375,0.42552223801612854,0.0,2.642578125,2.642578125
198,photon,em_quantum,F2_contextual_implicit,10,1.0,-0.796875,0.8628227710723877,0.0,-0.4453125,-0.4453125
199,electron,negative_charge_atomic,F3_process_implicit,10,2.0,-5.40625,0.14934369921684265,0.0,-6.734375,-6.734375
200,proton,positive_charge_atomic,F2_contextual_implicit,10,2.0,-6.1875,0.19085094332695007,0.0,-5.421875,-5.421875
201,photon,em_quantum,F2_contextual_implicit,10,0.0,0.2578125,1.146411657333374,0.0,0.041015625,0.041015625
202,neutron,neutral_charge_atomic,F3_process_implicit,10,0.0,2.3203125,0.4231688380241394,0.0,4.205078125,4.205078125
203,electron,negative_charge_atomic,F4_contrast_implicit,10,2.0,-6.09375,0.09610249102115631,0.0,-5.3359375,-5.3359375
204,proton,positive_charge_atomic,F3_process_implicit,10,2.0,-2.96875,0.8903175592422485,0.0,-5.9140625,-5.9140625
205,proton,positive_charge_atomic,F4_contrast_implicit,10,2.0,-3.96875,0.437979519367218,0.0,-5.8984375,-5.8984375
206,proton,positive_charge_atomic,F4_contrast_implicit,10,2.0,-5.78125,0.09129820764064789,0.0,-5.61328125,-5.61328125
207,neutron,nuclear_stability_provider,F3_process_implicit,10,1.0,-1.482421875,1.031663417816162,0.0,3.14208984375,3.14208984375
208,photon,em_quantum,F3_process_implicit,10,0.0,0.15625,0.9896000027656555,0.0,-0.072021484375,-0.072021484375
209,neutron,nuclear_stability_provider,F2_contextual_implicit,10,0.0,2.74609375,0.536156415939331,0.0,2.7880859375,2.7880859375
210,neutron,nuclear_stability_provider,F2_contextual_implicit,10,0.0,3.25,0.20918303728103638,0.0,1.1876220703125,1.1876220703125
211,proton,positive_charge_atomic,F3_process_implicit,10,2.0,-5.59375,0.1507379710674286,0.0,-4.671875,-4.671875
212,photon,massless_em_mediator,F3_process_implicit,10,1.0,-1.9375,0.49484190344810486,0.0,-0.181640625,-0.181640625
213,photon,em_quantum,F4_contrast_implicit,10,0.0,1.75,0.47382479906082153,0.0,-0.453125,-0.453125
214,electron,negative_charge_atomic,F4_contrast_implicit,10,2.0,-4.25,0.6044939756393433,0.0,-5.15625,-5.15625
215,proton,positive_charge_atomic,F3_process_implicit,10,2.0,-5.46875,0.19676005840301514,0.0,-5.919921875,-5.919921875
216,neutron,neutral_charge_atomic,F4_contrast_implicit,10,0.0,1.25,0.9088234305381775,0.0,3.18359375,3.18359375
217,neutron,nuclear_stability_provider,F2_contextual_implicit,10,1.0,-0.38671875,1.3705673217773438,0.0,0.6376953125,0.6376953125
218,electron,negative_charge_atomic,F1_direct_implicit,10,2.0,-3.765625,0.7535087466239929,0.0,-6.74609375,-6.74609375
