feature_id,hac_ward_abs_k2,hac_ward_abs_k3,hac_ward_abs_k4,hac_ward_abs_k5,hac_ward_abs_k6,hac_complete_abs_k2,hac_complete_abs_k3,hac_complete_abs_k4,hac_complete_abs_k5,hac_complete_abs_k6,hac_complete_signed_k2,hac_complete_signed_k3,hac_complete_signed_k4,hac_complete_signed_k5,hac_complete_signed_k6,hac_average_abs_k2,hac_average_abs_k3,hac_average_abs_k4,hac_average_abs_k5,hac_average_abs_k6,hac_average_signed_k2,hac_average_signed_k3,hac_average_signed_k4,hac_average_signed_k5,hac_average_signed_k6,spectral_abs_k2,spectral_abs_k3,spectral_abs_k4,spectral_abs_k5,spectral_abs_k6,spectral_signed_k2,spectral_signed_k3,spectral_signed_k4,spectral_signed_k5,spectral_signed_k6,kmeans_abs_k2,kmeans_abs_k3,kmeans_abs_k4,kmeans_abs_k5,kmeans_abs_k6,kmeans_group_k2,kmeans_group_k3,kmeans_group_k4,kmeans_group_k5,kmeans_group_k6,gmm_group_k2,gmm_group_k3,gmm_group_k4,gmm_group_k5,nmf_k2,nmf_k3,nmf_k4,nmf_k5,nmf_k6,cocluster_k2,cocluster_k3,cocluster_k4,cocluster_k5,cocluster_k6,louvain_abs_t30,louvain_abs_t50,bipartite_louvain,coimp_louvain,signed_laplacian_k2,signed_laplacian_k3,signed_laplacian_k4,signed_laplacian_k5,signed_laplacian_k6,residual_kmeans_k2,residual_kmeans_k3,residual_kmeans_k4,residual_kmeans_k5,residual_kmeans_k6,contrastive_k2,contrastive_k3,contrastive_k4,contrastive_k5,contrastive_k6,level_stability_L1
L12_F60,1,2,3,4,5,1,2,2,2,3,1,2,2,3,4,1,2,2,2,2,1,1,1,2,2,1,1,0,1,3,0,1,3,3,4,0,1,3,3,4,1,0,1,2,0,1,0,1,0,0,2,3,3,3,0,1,0,3,2,0,0,1,2,0,2,3,2,4,1,1,3,2,5,0,0,3,2,4,2
L12_F71226,1,2,3,4,5,1,2,2,2,3,1,2,2,3,4,1,2,2,2,2,1,1,1,2,2,1,1,0,1,3,0,1,3,3,4,0,1,3,3,4,1,0,1,2,0,1,0,1,0,0,2,3,3,3,0,1,0,3,2,0,0,1,2,0,2,3,2,5,1,1,3,2,5,0,0,3,2,4,2
L13_F45942,1,2,3,4,5,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,1,1,3,4,5,1,2,1,1,2,0,1,3,1,4,0,1,1,0,3,1,0,1,0,0,2,3,3,3,0,1,0,2,2,0,0,0,3,1,1,1,1,1,0,0,1,0,1,0,2,3,2,5,3
L13_F57499,1,2,3,4,5,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,1,1,3,4,5,1,2,1,1,2,0,1,3,1,4,0,1,1,0,3,1,0,1,0,0,2,3,3,3,0,1,0,2,2,0,0,0,3,1,1,1,1,1,0,0,1,0,1,0,2,3,2,5,3
L13_F58969,1,2,3,4,5,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,1,1,3,4,5,1,2,1,1,2,0,1,3,1,4,0,1,1,0,3,1,0,1,0,0,2,3,3,3,0,1,0,2,2,0,0,0,3,1,1,1,1,1,0,0,1,0,1,0,2,3,2,4,3
L14_F140141,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,4,5,1,2,3,4,5,0,0,1,0,1,0,0,0,0,0,0,2,1,3,1,1,0,1,2,0,1,0,1,0,0,0,0,0,5,0,1,0,3,2,1,1,1,9,0,0,2,3,0,1,1,3,1,2,0,0,0,0,0,3
L14_F24749,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,4,5,1,2,3,4,5,0,0,1,0,1,0,0,0,0,0,0,2,1,3,1,1,0,1,2,0,1,0,1,0,0,0,0,0,5,0,1,0,3,2,1,1,1,9,0,0,2,3,0,1,1,3,1,2,0,0,0,0,0,3
L15_F15507,1,2,3,4,5,1,2,3,3,4,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,3,4,5,1,2,1,4,1,0,1,3,1,4,0,1,3,1,1,1,0,3,1,0,2,3,3,3,0,1,0,2,0,0,0,1,5,1,2,3,0,5,0,0,1,0,1,0,2,3,2,4,2
L15_F64857,1,2,3,4,5,1,2,3,3,4,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,3,4,5,1,2,1,4,1,0,1,3,1,4,0,1,3,1,1,1,0,3,1,1,2,3,3,3,0,1,0,2,0,0,0,1,5,1,2,3,0,5,0,0,1,0,1,0,2,3,2,5,2
L15_F89707,1,2,3,4,5,1,2,3,3,4,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,3,4,5,1,2,1,4,1,0,1,3,1,4,0,1,3,1,1,1,0,3,1,1,2,3,3,3,0,1,0,2,0,0,0,1,5,1,2,3,2,5,0,0,1,0,1,0,2,3,2,5,2
L16_F14097,1,1,1,1,2,1,1,1,1,1,1,2,3,4,5,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,1,2,2,4,2,0,1,2,4,1,1,1,4,4,0,1,0,3,2,2,2,1,6,0,0,2,3,3,1,2,2,3,0,1,2,2,3,1,1
L16_F33974,1,1,1,1,2,1,1,1,1,1,1,2,3,4,5,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,1,2,2,4,2,0,1,2,4,1,1,1,4,4,0,1,0,3,2,2,2,1,6,0,0,2,3,3,1,2,2,3,0,1,2,2,3,5,1
L16_F46637,1,1,1,1,2,1,1,1,1,1,1,2,3,4,5,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,1,2,2,4,2,0,1,2,4,1,1,1,4,4,0,1,0,3,2,2,2,1,6,0,0,2,3,3,1,2,2,3,0,1,2,2,3,1,1
L16_F53285,1,1,1,1,2,1,1,1,1,1,1,2,3,4,5,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,1,2,2,4,2,0,1,2,4,1,1,1,4,4,0,1,0,3,2,2,2,1,6,0,0,2,3,3,1,2,2,3,0,1,2,2,3,1,1
L16_F82587,1,1,1,1,2,1,1,1,1,1,1,2,3,4,5,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,1,2,2,4,2,0,1,2,4,1,1,1,4,4,0,1,0,3,2,2,2,1,6,0,0,2,3,3,1,2,2,3,0,1,2,2,3,5,1
L17_F111674,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1,2,3,3,3,1,2,3,4,5,0,0,1,3,4,0,0,0,0,0,0,2,1,0,1,1,2,0,3,4,0,2,0,3,0,0,0,4,5,0,1,0,3,2,1,1,1,9,0,0,0,0,2,1,1,3,4,2,0,0,0,0,0,3
L17_F122323,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1,2,3,3,3,1,2,3,4,5,0,0,1,3,4,0,0,0,0,0,0,2,1,0,1,1,2,0,3,4,0,2,0,3,0,0,0,4,5,0,1,0,3,2,1,1,1,9,0,0,0,0,2,1,1,3,4,2,0,0,0,0,0,3
L17_F153539,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1,2,3,3,3,1,2,3,4,5,0,0,1,3,4,0,0,0,0,0,0,2,1,0,1,1,2,0,3,4,0,2,0,3,0,0,0,4,5,0,1,0,3,2,1,1,1,9,0,0,0,0,2,1,1,3,4,2,0,0,0,0,0,3
L17_F63126,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1,2,3,3,3,1,2,3,4,5,0,0,1,3,4,0,0,0,0,0,0,2,1,0,1,1,2,0,3,4,0,2,0,3,0,0,0,4,5,0,1,0,3,2,1,1,1,9,0,0,0,0,2,1,1,3,4,2,0,0,0,0,0,3
L17_F6720,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1,2,3,3,3,1,2,3,4,5,0,0,1,3,4,0,0,0,0,0,0,2,1,0,1,1,2,0,3,4,0,2,0,3,0,0,0,4,5,0,1,0,3,2,1,1,1,9,0,0,0,0,2,1,1,3,4,2,0,0,0,0,0,3
L18_F108180,1,2,3,4,5,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,1,1,3,4,5,1,2,1,1,2,0,1,3,1,4,0,1,1,0,3,1,0,1,0,0,2,3,3,3,0,1,0,2,0,0,0,0,8,1,1,1,1,1,0,0,1,0,1,0,0,3,2,4,2
L18_F145795,1,2,3,4,5,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,1,1,3,4,5,1,2,1,1,2,0,1,3,1,4,0,1,1,0,3,1,0,1,0,0,2,3,3,3,0,1,0,2,0,0,0,0,8,1,1,1,1,1,0,0,1,0,1,0,2,3,2,4,2
L18_F152260,1,2,3,4,5,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,1,1,3,4,5,1,2,1,1,2,0,1,3,1,4,0,1,1,0,3,1,0,1,0,0,2,3,3,3,0,1,0,2,0,0,0,0,8,1,1,1,1,1,0,0,1,0,1,0,2,3,2,5,2
L18_F41804,1,2,3,4,5,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,1,1,3,4,5,1,2,1,1,2,0,1,3,1,4,0,1,1,0,3,1,0,1,0,0,2,3,3,3,0,1,0,2,0,0,0,0,8,1,1,1,1,1,0,0,1,0,1,0,2,3,2,4,2
L19_F130590,1,2,3,4,5,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,1,1,0,1,3,1,2,1,1,2,0,1,3,4,3,0,1,3,1,1,1,0,3,1,0,2,3,3,3,0,1,0,2,0,0,0,0,11,1,1,1,1,1,0,0,1,0,1,1,2,2,3,5,2
L19_F25394,1,2,3,4,5,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,1,1,0,1,3,1,2,1,1,2,0,1,3,4,3,0,1,3,1,1,1,0,3,1,0,2,3,3,3,0,1,0,2,0,0,0,0,11,1,1,1,1,1,0,0,1,0,1,1,2,2,3,5,2
L19_F41536,1,2,3,4,5,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,1,1,0,1,3,1,2,1,1,2,0,1,3,4,3,0,1,3,1,1,1,0,3,1,0,2,3,3,3,0,1,0,2,0,0,0,0,11,1,1,1,1,1,0,0,1,0,1,1,2,2,3,5,2
L19_F44438,1,2,3,4,5,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,1,1,0,1,3,1,2,1,1,2,0,1,3,4,3,0,1,3,1,1,1,0,3,1,1,2,3,3,3,0,1,0,2,0,0,0,0,11,1,1,1,1,1,0,0,1,0,1,1,2,2,3,1,2
L19_F94584,1,2,3,4,5,1,2,3,4,5,0,0,0,0,1,1,2,3,4,5,0,0,0,1,1,1,1,0,1,3,1,2,1,1,2,0,1,3,4,3,0,1,3,1,1,1,0,3,1,0,2,3,3,3,0,1,0,2,0,0,0,0,11,1,1,1,1,1,0,0,1,0,1,1,2,2,3,1,2
L20_F117855,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,3,3,1,2,3,4,5,0,0,1,0,1,0,0,0,4,1,0,2,1,3,1,1,0,0,2,0,1,2,0,0,0,0,2,2,5,0,1,0,3,2,1,1,1,10,0,0,2,3,0,1,1,3,1,4,0,0,0,4,3,3
L20_F18705,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,3,3,1,2,3,4,5,0,0,1,0,1,0,0,0,4,1,0,2,1,3,1,1,0,0,2,0,1,2,0,0,0,0,2,2,5,0,1,0,3,2,1,1,1,10,0,0,2,3,0,1,1,3,1,4,0,0,0,4,3,3
L20_F72939,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,3,3,1,2,3,4,5,0,0,1,0,1,0,0,0,4,1,0,2,1,3,1,1,0,0,2,0,1,2,0,0,0,0,2,2,5,0,1,0,3,2,1,1,1,10,0,0,2,3,0,1,1,3,1,4,0,0,0,4,3,3
L20_F74959,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,3,3,1,2,3,4,5,0,0,1,0,1,0,0,0,4,1,0,2,1,3,1,1,0,0,2,0,1,2,0,0,0,0,2,2,5,0,1,0,3,2,1,1,1,10,0,0,2,3,0,1,1,3,1,4,0,0,0,4,3,3
L20_F80071,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,3,3,1,2,3,4,5,0,0,1,0,1,0,0,0,4,1,0,2,1,3,1,1,0,0,2,0,1,2,0,0,0,0,2,2,5,0,1,0,3,2,1,1,1,10,0,0,2,3,0,1,1,3,1,4,0,0,0,4,3,3
L21_F12280,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,4,1,1,3,4,2,0,1,3,4,1,0,1,3,1,4,0,1,1,0,3,1,0,1,0,1,2,2,2,2,0,1,3,1,1,0,0,0,11,0,0,2,4,3,1,1,3,1,4,1,1,1,1,2,1
L21_F157518,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,4,1,1,3,4,2,0,1,3,4,1,0,1,3,1,4,0,1,1,0,3,1,0,1,0,1,2,2,2,2,0,1,3,1,1,0,0,0,11,0,0,2,4,3,1,1,3,1,4,1,1,1,1,2,1
L21_F53078,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,4,1,1,3,4,2,0,1,3,4,1,0,1,3,1,4,0,1,1,0,3,1,0,1,0,1,2,2,2,2,0,1,3,1,1,0,0,0,11,0,0,2,4,3,1,1,3,1,4,1,1,1,1,2,1
L21_F56012,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,4,1,1,3,4,2,0,1,3,4,1,0,1,3,1,4,0,1,1,0,3,1,0,1,0,1,2,2,2,2,0,1,3,1,1,0,0,0,11,0,0,2,4,3,1,1,3,1,4,1,1,1,1,2,1
L21_F99203,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,4,1,1,3,4,2,0,1,3,4,1,0,1,3,1,4,0,1,1,0,3,1,0,1,0,1,2,2,2,2,0,1,3,1,1,0,0,0,11,0,0,2,4,3,1,1,3,1,4,1,1,1,1,2,1
L22_F110496,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,1,2,2,4,2,0,1,2,1,1,1,1,4,4,0,2,2,3,2,2,2,1,4,0,0,2,3,0,1,2,2,3,0,1,2,2,3,1,1
L22_F113311,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,1,2,2,4,2,0,1,2,1,1,1,1,4,4,0,2,0,3,2,2,2,0,4,0,0,2,3,0,1,2,2,3,0,1,2,2,3,1,1
L22_F133148,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,1,2,2,4,2,0,1,2,1,1,1,1,4,4,0,1,0,3,2,2,2,0,4,0,0,0,0,0,1,2,2,3,0,0,0,3,2,4,1
L22_F28148,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,1,2,2,4,2,0,1,2,1,1,1,1,4,4,0,1,0,3,2,2,2,0,4,0,0,2,3,0,1,2,2,3,0,1,2,2,3,5,1
L22_F93236,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,1,2,2,4,2,0,1,2,1,1,1,1,4,4,0,1,0,3,2,2,2,0,4,0,0,2,3,0,1,2,2,3,0,1,2,2,3,5,1
L23_F109767,1,1,1,1,2,1,1,1,1,1,1,2,3,4,5,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,0,2,2,4,2,0,1,2,1,1,1,1,1,1,0,2,2,0,3,2,2,1,4,0,0,2,4,3,1,2,2,2,0,1,1,1,1,2,1
L23_F140107,1,1,1,1,2,1,1,1,1,1,1,2,3,4,5,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,0,2,2,4,2,0,1,2,1,1,1,1,1,1,0,2,2,0,3,2,2,1,4,0,0,2,4,3,1,2,2,2,0,1,1,1,1,2,1
L23_F161196,1,1,1,1,2,1,1,1,1,1,1,2,3,4,5,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,0,2,2,4,2,0,1,2,1,1,1,1,1,1,0,2,2,0,3,2,2,1,4,0,0,2,4,3,1,2,2,2,0,1,1,1,1,2,1
L23_F71067,1,1,1,1,2,1,1,1,1,1,1,2,3,4,5,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,0,2,2,4,2,0,1,2,1,1,1,1,1,1,0,2,2,0,3,2,2,1,4,0,0,2,4,3,1,2,2,2,0,1,1,1,1,2,1
L23_F83556,1,1,1,1,2,1,1,1,1,1,1,2,3,4,5,1,2,3,4,4,1,2,3,4,4,1,2,2,2,0,0,1,2,2,5,1,0,2,2,0,0,2,2,4,2,0,1,2,1,1,1,1,1,1,0,2,2,0,3,2,2,1,4,0,0,2,4,3,1,2,2,2,0,1,1,1,1,2,1
L24_F18943,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,4,5,1,2,3,4,5,0,0,1,0,1,0,0,0,0,0,0,2,1,3,1,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,1,4,4,1,1,1,7,0,0,2,3,0,1,1,3,1,2,0,0,0,4,3,3
L24_F249,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,4,5,1,2,3,4,5,0,0,1,0,1,0,0,0,0,0,0,2,1,3,1,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,1,4,4,1,1,1,7,0,0,2,3,0,1,1,3,1,2,0,0,0,4,3,3
L24_F52031,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,4,5,1,2,3,4,5,0,0,1,0,1,0,0,0,0,0,0,2,1,3,1,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,1,4,4,1,1,1,7,0,0,2,3,0,1,1,3,1,2,0,0,0,0,0,3
L24_F60777,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,4,5,1,2,3,4,5,0,0,1,0,1,0,0,0,0,0,0,2,1,3,1,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,1,4,4,1,1,1,7,0,0,2,3,0,1,1,3,1,2,0,0,0,0,0,3
L24_F88968,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,4,5,1,2,3,4,5,0,0,1,0,1,0,0,0,0,0,0,2,1,3,1,1,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,1,4,4,1,1,1,7,0,0,2,3,0,1,1,3,1,2,0,0,0,0,0,3
L25_F105937,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,4,5,1,2,3,4,5,0,0,1,0,1,0,0,0,0,0,0,2,1,3,1,1,0,1,2,0,1,0,1,0,0,2,2,2,5,0,1,0,3,4,1,1,0,7,0,0,2,3,0,1,1,3,1,2,0,2,3,2,4,3
L25_F110282,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,4,5,1,2,3,4,5,0,0,1,0,1,0,0,0,0,0,0,2,1,3,1,1,0,1,2,0,1,0,1,0,0,0,0,2,5,0,1,0,3,2,1,1,1,7,0,0,2,3,0,1,1,3,1,2,0,0,3,2,4,3
L25_F126439,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,4,5,1,2,3,4,5,0,0,1,0,1,0,0,0,0,0,0,2,1,3,1,1,0,1,2,0,1,0,1,0,0,0,3,3,5,0,1,0,3,4,1,1,0,7,0,0,2,3,0,1,1,3,1,2,0,0,0,0,0,3
L25_F142075,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,4,5,1,2,3,4,5,0,0,1,0,1,0,0,0,0,0,0,2,1,3,1,1,0,1,2,0,1,0,1,0,0,0,0,2,5,0,1,0,3,4,1,1,0,7,0,0,2,3,0,1,1,3,1,2,0,0,3,2,4,3
L25_F71226,0,0,0,0,1,0,0,0,0,0,1,1,1,2,3,1,2,3,4,5,1,2,3,4,5,0,0,1,0,1,0,0,0,0,0,0,2,1,3,1,1,0,1,2,0,1,0,1,0,0,0,0,0,5,0,1,0,3,2,1,1,1,7,0,0,2,3,0,1,1,3,1,2,1,2,2,3,5,3
