group_id,mean_effect,mean_abs_effect,positive_agreement,negative_agreement,sfr,n_prompts,cluster_id,level,latent_state_target,correct_answer,cue_label
AUX-ISO1,-0.175,0.175,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-ISO10,0.325,0.325,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-ISO11,0.275,0.275,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-ISO12,0.325,0.325,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-ISO2,-0.4125,0.4125,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-ISO3,-0.3875,0.3875,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-ISO4,-0.1625,0.1625,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-ISO5,-0.2375,0.2375,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-ISO6,0.0125,0.0375,0.4,0.2,0.0,1,0,AUX,alpha,alpha,
AUX-ISO7,0.425,0.425,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-ISO8,0.325,0.325,1.0,0.0,1.0,1,0,AUX,beta,beta,
AUX-ISO9,0.425,0.425,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-P1,-0.2375,0.2375,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-P10,0.25,0.25,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-P11,0.3,0.3,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-P12,-0.15,0.175,0.2,0.8,0.0,1,0,AUX,beta,beta,
AUX-P2,-0.05,0.05,0.0,0.4,0.0,1,0,AUX,alpha,alpha,
AUX-P3,-0.15,0.15,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-P4,-0.5625,0.5625,0.0,1.0,0.0,1,0,AUX,alpha,alpha,
AUX-P5,0.9375,0.9375,1.0,0.0,0.0,1,0,AUX,alpha,alpha,
AUX-P6,0.0625,0.1125,0.6,0.2,0.0,1,0,AUX,alpha,alpha,
AUX-P7,0.45,0.45,1.0,0.0,1.0,1,0,AUX,beta,beta,
AUX-P8,0.3125,0.3125,1.0,0.0,0.0,1,0,AUX,beta,beta,
AUX-P9,0.15,0.15,1.0,0.0,0.0,1,0,AUX,beta,beta,
CP-L1-01,0.05,0.325,0.8,0.0,0.5,2,0,1,alpha,alpha,
CP-L1-02,-0.0812,0.2438,0.0,1.0,0.0,2,0,1,alpha,alpha,
CP-L1-03,-0.0188,0.2062,0.0,0.6,0.0,2,0,1,alpha,alpha,
CP-L1-04,0.0375,0.125,1.0,0.0,0.0,2,0,1,alpha,alpha,
CP-L1-05,0.0,0.1625,0.0,0.0,0.0,2,0,1,alpha,alpha,
CP-L1-06,0.0938,0.1812,1.0,0.0,0.0,2,0,1,alpha,alpha,
CP-L2-01,-0.0188,0.2562,0.4,0.6,0.0,2,0,2,alpha,alpha,
CP-L2-02,-0.0062,0.2688,0.2,0.4,0.5,2,0,2,alpha,alpha,
CP-L2-03,-0.2312,0.2312,0.0,1.0,0.0,2,0,2,alpha,alpha,
CP-L2-04,0.0125,0.4125,0.6,0.2,0.0,2,0,2,alpha,alpha,
CP-L2-05,-0.0875,0.3125,0.0,1.0,0.0,2,0,2,alpha,alpha,
CP-L2-06,-0.2438,0.4312,0.0,1.0,0.0,2,0,2,alpha,alpha,
CP-L2-07,-0.1,0.125,0.0,1.0,0.0,2,0,2,alpha,alpha,
CP-L2-08,-0.1094,0.4656,0.0,1.0,0.0,2,0,2,alpha,alpha,
CP-L2-09,0.0688,0.2438,1.0,0.0,0.0,2,0,2,alpha,alpha,
CP-L2-10,-0.0938,0.4062,0.0,1.0,0.5,2,0,2,alpha,alpha,
CP-L2-11,0.2062,0.2438,1.0,0.0,0.5,2,0,2,alpha,alpha,
CP-L2-12,-0.0031,0.1969,0.2,0.4,0.0,2,0,2,alpha,alpha,
CP-L2-13,0.0,0.2625,0.2,0.2,0.0,2,0,2,alpha,alpha,
CP-L2-14,0.1062,0.2688,1.0,0.0,0.5,2,0,2,alpha,alpha,
CP-L3-01,-0.1812,0.2688,0.0,1.0,0.0,2,0,3,alpha,alpha,
CP-L3-02,-0.0812,0.0938,0.0,1.0,0.0,2,0,3,alpha,alpha,
CP-L3-03,-0.1031,0.2406,0.0,1.0,0.0,2,0,3,alpha,alpha,
CP-L3-04,0.025,0.2375,0.8,0.0,0.0,2,0,3,alpha,alpha,
KW-A1,-0.1,0.1625,0.0,1.0,0.0,2,0,1,alpha,alpha,
KW-A2,-0.0062,0.1688,0.4,0.4,0.0,2,0,1,alpha,alpha,
KW-A3,-0.2625,0.2625,0.0,1.0,0.0,2,0,1,alpha,alpha,
KW-A4,0.0562,0.2188,1.0,0.0,0.0,2,0,1,alpha,alpha,
KW-A5,-0.1188,0.1188,0.0,1.0,0.0,2,0,1,alpha,alpha,
KW-A6,-0.3812,0.3812,0.0,1.0,0.0,2,0,1,alpha,alpha,
KW-B1,0.475,0.475,1.0,0.0,0.0,2,0,1,beta,beta,
KW-B2,0.3562,0.3562,1.0,0.0,0.0,2,0,1,beta,beta,
KW-B3,0.225,0.225,1.0,0.0,0.0,2,0,1,beta,beta,
KW-B4,0.225,0.225,1.0,0.0,0.0,2,0,1,beta,beta,
KW-B5,0.0062,0.0938,0.4,0.2,0.0,2,0,1,beta,beta,
KW-B6,0.1812,0.1812,1.0,0.0,0.0,2,0,1,beta,beta,
L1-A1,-0.2479,0.3083,0.0,1.0,0.0,12,0,1,alpha,alpha,emitted_charge_plus2
L1-A2,-0.0635,0.1323,0.2,0.8,0.0,12,0,1,alpha,alpha,emitted_mass4
L1-A3,-0.3354,0.3354,0.0,1.0,0.0,12,0,1,alpha,alpha,daughter_z_minus2
L1-A4,-0.2438,0.2438,0.0,1.0,0.0,10,0,1,alpha,alpha,daughter_a_minus4
L1-A5,-0.1141,0.1922,0.0,1.0,0.0,8,0,1,alpha,alpha,emitted_2protons
L1-A6,-0.0422,0.1797,0.2,0.8,0.125,8,0,1,alpha,alpha,emitted_2neutrons
L1-B1,0.3229,0.3229,1.0,0.0,0.2167,12,0,1,beta,beta,emitted_charge_minus1
L1-B2,0.3594,0.374,1.0,0.0,0.1667,12,0,1,beta,beta,daughter_z_plus1
L1-B3,0.149,0.1635,1.0,0.0,0.0,12,0,1,beta,beta,daughter_a_unchanged
L1-B4,0.2712,0.2738,1.0,0.0,0.1,10,0,1,beta,beta,antineutrino_emitted
L1-B5,-0.0859,0.2141,0.0,1.0,0.0,8,0,1,beta,beta,emitted_mass_negligible
L1-B6,0.2609,0.2734,1.0,0.0,0.375,8,0,1,beta,beta,daughter_n_minus1
L2-AR1,-0.195,0.195,0.0,1.0,0.0,10,0,2,alpha,alpha,composition_2p2n
L2-AR2,-0.1538,0.1738,0.0,1.0,0.0,10,0,2,alpha,alpha,charge_plus_mass
L2-AR3,-0.17,0.2125,0.0,1.0,0.12,10,0,2,alpha,alpha,daughter_z_and_a_alpha
L2-AR4,-0.107,0.1133,0.0,1.0,0.0,8,0,2,alpha,alpha,composition_plus_daughter
L2-AR5,-0.2922,0.2922,0.0,1.0,0.0,8,0,2,alpha,alpha,charge_plus_daughter_z
L2-AR6,-0.0828,0.1297,0.0,1.0,0.0,8,0,2,alpha,alpha,mass_plus_daughter_a
L2-AR7,-0.4333,0.4333,0.0,1.0,0.0,6,0,2,alpha,alpha,narrative_ejection
L2-AR8,-0.0555,0.1367,0.0,1.0,0.0,8,0,2,alpha,alpha,full_emitted_alpha_spec
L2-BR1,0.39,0.39,1.0,0.0,0.1,10,0,2,beta,beta,z_plus1_a_unchanged
L2-BR2,0.1544,0.2381,1.0,0.0,0.0,10,0,2,beta,beta,neutron_to_proton
L2-BR3,0.1789,0.1836,1.0,0.0,0.0,8,0,2,beta,beta,n_to_p_with_antineutrino
L2-BR4,0.4594,0.4594,1.0,0.0,0.325,8,0,2,beta,beta,charge_plus_z_change
L2-BR5,0.5458,0.5458,1.0,0.0,0.4,6,0,2,beta,beta,charge_plus_a_unchanged
L2-BR6,0.3328,0.3328,1.0,0.0,0.25,8,0,2,beta,beta,z_plus1_with_antineutrino
L2-BR7,0.3133,0.3133,1.0,0.0,0.0,8,0,2,beta,beta,n_to_p_plus_z_plus1
L2-BR8,0.45,0.45,1.0,0.0,0.0,8,0,2,beta,beta,full_beta_process_spec
L2-GRAD-A,-0.1323,0.1802,0.0,1.0,0.0,6,0,2,alpha,alpha,
L2-GRAD-B,0.4656,0.4656,1.0,0.0,0.5333,6,0,2,beta,beta,
L3-A1,-0.368,0.368,0.0,1.0,0.0,8,0,3,alpha,alpha,helium4_equivalence
L3-A2,-0.2555,0.3867,0.0,1.0,0.0,8,0,3,alpha,alpha,composite_nuclear_object
L3-A3,0.075,0.1479,0.8,0.0,0.0,6,0,3,alpha,alpha,heavy_nuclear_fragment
L3-A4,-0.1937,0.2188,0.0,1.0,0.0,6,0,3,alpha,alpha,baryon_number_4
L3-B1,0.1758,0.1852,1.0,0.0,0.05,8,0,3,beta,beta,lepton_family
L3-B2,0.057,0.132,1.0,0.0,0.0,8,0,3,beta,beta,electron_equivalence
L3-B3,0.1875,0.1937,1.0,0.0,0.0,6,0,3,beta,beta,not_nuclear_fragment
L3-B4,0.324,0.324,1.0,0.0,0.0,6,0,3,beta,beta,muon_family
L3-FA,-0.0734,0.1234,0.0,1.0,0.0,8,0,3,alpha,alpha,
L3-FB,0.3641,0.3656,1.0,0.0,0.0,8,0,3,beta,beta,
AUX-A1,0.2969,0.2969,1.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-A10,0.0625,0.0625,0.75,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-A2,-0.0781,0.0781,0.0,0.75,0.0,1,1,AUX,alpha,alpha,
AUX-A3,0.0469,0.0469,0.75,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-A4,0.1562,0.1562,1.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-A5,0.2812,0.2812,1.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-A6,0.0781,0.0781,1.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-A7,0.0781,0.0781,1.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-A8,0.0938,0.0938,1.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-A9,0.0469,0.0469,0.75,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-B1,0.0156,0.0469,0.5,0.25,0.0,1,1,AUX,beta,beta,
AUX-B10,-0.0312,0.0625,0.25,0.75,0.0,1,1,AUX,beta,beta,
AUX-B2,-0.2812,0.2812,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-B3,0.0,0.0312,0.25,0.25,0.0,1,1,AUX,beta,beta,
AUX-B4,-0.0781,0.0781,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-B5,-0.2031,0.2031,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-B6,-0.2188,0.2188,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-B7,-0.4688,0.4688,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-B8,-0.0703,0.0703,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-B9,-0.0938,0.0938,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-CF1,0.0156,0.0156,0.25,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-CF10,0.0938,0.0938,1.0,0.0,0.0,1,1,AUX,beta,beta,
AUX-CF11,0.0469,0.0469,0.75,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-CF12,-0.0469,0.0469,0.0,0.75,0.0,1,1,AUX,beta,beta,
AUX-CF2,0.1406,0.1406,1.0,0.0,0.0,1,1,AUX,beta,beta,
AUX-CF3,0.0781,0.0781,1.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-CF4,-0.0625,0.0625,0.0,0.75,0.0,1,1,AUX,beta,beta,
AUX-CF5,0.0,0.0,0.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-CF6,-0.0625,0.0625,0.0,0.75,0.0,1,1,AUX,beta,beta,
AUX-CF7,-0.0625,0.0625,0.0,1.0,0.0,1,1,AUX,alpha,alpha,
AUX-CF8,-0.1875,0.1875,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-CF9,0.0156,0.0156,0.25,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-ISO1,0.0312,0.0312,0.5,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-ISO10,-0.0312,0.0312,0.0,0.5,0.0,1,1,AUX,beta,beta,
AUX-ISO11,-0.1094,0.1094,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-ISO12,-0.0781,0.0781,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-ISO2,0.0625,0.0625,1.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-ISO3,0.0781,0.0781,0.75,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-ISO4,0.0781,0.0781,1.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-ISO5,0.1875,0.1875,1.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-ISO6,0.0,0.0,0.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-ISO7,0.0312,0.0312,0.5,0.0,0.0,1,1,AUX,beta,beta,
AUX-ISO8,-0.1875,0.1875,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-ISO9,-0.0781,0.0781,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-P1,0.1562,0.1562,1.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-P10,0.125,0.125,1.0,0.0,0.0,1,1,AUX,beta,beta,
AUX-P11,0.0625,0.0625,1.0,0.0,0.0,1,1,AUX,beta,beta,
AUX-P12,-0.2344,0.2344,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-P2,-0.0156,0.0156,0.0,0.25,0.0,1,1,AUX,alpha,alpha,
AUX-P3,-0.0469,0.0469,0.0,0.5,0.0,1,1,AUX,alpha,alpha,
AUX-P4,-0.2031,0.2031,0.0,1.0,0.0,1,1,AUX,alpha,alpha,
AUX-P5,0.125,0.125,1.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-P6,0.0938,0.0938,1.0,0.0,0.0,1,1,AUX,alpha,alpha,
AUX-P7,-0.0781,0.0781,0.0,1.0,0.0,1,1,AUX,beta,beta,
AUX-P8,0.2344,0.2344,1.0,0.0,0.0,1,1,AUX,beta,beta,
AUX-P9,0.2812,0.2812,1.0,0.0,0.0,1,1,AUX,beta,beta,
CP-L1-01,-0.0078,0.1172,0.0,0.25,0.0,2,1,1,alpha,alpha,
CP-L1-02,-0.0156,0.0938,0.0,0.5,0.0,2,1,1,alpha,alpha,
CP-L1-03,0.1172,0.1172,1.0,0.0,0.0,2,1,1,alpha,alpha,
CP-L1-04,-0.0547,0.1172,0.0,0.75,0.0,2,1,1,alpha,alpha,
CP-L1-05,-0.0391,0.1016,0.0,1.0,0.0,2,1,1,alpha,alpha,
CP-L1-06,-0.0625,0.0938,0.0,1.0,0.0,2,1,1,alpha,alpha,
CP-L2-01,-0.25,0.3281,0.0,1.0,0.5,2,1,2,alpha,alpha,
CP-L2-02,-0.1641,0.1641,0.0,1.0,0.0,2,1,2,alpha,alpha,
CP-L2-03,-0.0781,0.125,0.0,1.0,0.0,2,1,2,alpha,alpha,
CP-L2-04,0.0156,0.0312,0.5,0.25,0.0,2,1,2,alpha,alpha,
CP-L2-05,-0.1484,0.1484,0.0,1.0,0.0,2,1,2,alpha,alpha,
CP-L2-06,-0.1875,0.1875,0.0,1.0,0.0,2,1,2,alpha,alpha,
CP-L2-07,-0.125,0.125,0.0,1.0,0.0,2,1,2,alpha,alpha,
CP-L2-08,0.2891,0.2891,1.0,0.0,0.0,2,1,2,alpha,alpha,
CP-L2-09,0.0938,0.0938,1.0,0.0,0.0,2,1,2,alpha,alpha,
CP-L2-10,0.0078,0.1641,0.5,0.25,0.0,2,1,2,alpha,alpha,
CP-L2-11,-0.0625,0.1562,0.0,0.75,0.0,2,1,2,alpha,alpha,
CP-L2-12,0.1055,0.1055,1.0,0.0,0.0,2,1,2,alpha,alpha,
CP-L2-13,0.0391,0.0547,0.75,0.0,0.0,2,1,2,alpha,alpha,
CP-L2-14,-0.0234,0.0234,0.0,0.75,0.0,2,1,2,alpha,alpha,
CP-L3-01,-0.2812,0.2812,0.0,1.0,0.0,2,1,3,alpha,alpha,
CP-L3-02,0.0039,0.3789,0.25,0.0,0.0,2,1,3,alpha,alpha,
CP-L3-03,0.125,0.125,1.0,0.0,0.0,2,1,3,alpha,alpha,
CP-L3-04,-0.1641,0.1641,0.0,1.0,0.0,2,1,3,alpha,alpha,
KW-A1,0.1875,0.1875,1.0,0.0,0.0,2,1,1,alpha,alpha,
KW-A2,0.2812,0.2812,1.0,0.0,0.0,2,1,1,alpha,alpha,
KW-A3,0.0078,0.0703,0.5,0.25,0.0,2,1,1,alpha,alpha,
KW-A4,0.1328,0.1328,1.0,0.0,0.0,2,1,1,alpha,alpha,
KW-A5,0.0312,0.0312,0.75,0.0,0.0,2,1,1,alpha,alpha,
KW-A6,0.2148,0.2148,1.0,0.0,0.0,2,1,1,alpha,alpha,
KW-B1,-0.2188,0.2188,0.0,1.0,0.0,2,1,1,beta,beta,
KW-B2,-0.1289,0.1289,0.0,1.0,0.0,2,1,1,beta,beta,
KW-B3,0.2266,0.2266,1.0,0.0,0.0,2,1,1,beta,beta,
KW-B4,0.0078,0.0547,0.25,0.25,0.0,2,1,1,beta,beta,
KW-B5,-0.0547,0.1172,0.0,1.0,0.0,2,1,1,beta,beta,
KW-B6,-0.1016,0.1016,0.0,1.0,0.0,2,1,1,beta,beta,
L1-A1,0.1536,0.1562,1.0,0.0,0.0,12,1,1,alpha,alpha,emitted_charge_plus2
L1-A2,0.0052,0.0964,0.75,0.0,0.0,12,1,1,alpha,alpha,emitted_mass4
L1-A3,0.0156,0.0573,0.75,0.25,0.0,12,1,1,alpha,alpha,daughter_z_minus2
L1-A4,-0.0281,0.0781,0.0,1.0,0.0,10,1,1,alpha,alpha,daughter_a_minus4
L1-A5,0.0723,0.0996,1.0,0.0,0.0,8,1,1,alpha,alpha,emitted_2protons
L1-A6,0.1328,0.1328,1.0,0.0,0.0,8,1,1,alpha,alpha,emitted_2neutrons
L1-B1,-0.2018,0.2018,0.0,1.0,0.0833,12,1,1,beta,beta,emitted_charge_minus1
L1-B2,0.0378,0.1367,1.0,0.0,0.1042,12,1,1,beta,beta,daughter_z_plus1
L1-B3,0.0677,0.099,1.0,0.0,0.0,12,1,1,beta,beta,daughter_a_unchanged
L1-B4,-0.1938,0.1938,0.0,1.0,0.325,10,1,1,beta,beta,antineutrino_emitted
L1-B5,-0.2168,0.2168,0.0,1.0,0.0,8,1,1,beta,beta,emitted_mass_negligible
L1-B6,-0.0625,0.0859,0.0,1.0,0.0,8,1,1,beta,beta,daughter_n_minus1
L2-AR1,0.0359,0.1016,1.0,0.0,0.0,10,1,2,alpha,alpha,composition_2p2n
L2-AR2,0.0953,0.1141,1.0,0.0,0.0,10,1,2,alpha,alpha,charge_plus_mass
L2-AR3,-0.1188,0.1344,0.0,1.0,0.1,10,1,2,alpha,alpha,daughter_z_and_a_alpha
L2-AR4,-0.0273,0.082,0.0,1.0,0.0,8,1,2,alpha,alpha,composition_plus_daughter
L2-AR5,0.125,0.125,1.0,0.0,0.0,8,1,2,alpha,alpha,charge_plus_daughter_z
L2-AR6,0.1328,0.1562,1.0,0.0,0.0,8,1,2,alpha,alpha,mass_plus_daughter_a
L2-AR7,0.0859,0.1016,1.0,0.0,0.0,6,1,2,alpha,alpha,narrative_ejection
L2-AR8,0.1572,0.1572,1.0,0.0,0.0,8,1,2,alpha,alpha,full_emitted_alpha_spec
L2-BR1,0.0453,0.0797,1.0,0.0,0.0,10,1,2,beta,beta,z_plus1_a_unchanged
L2-BR2,-0.1141,0.1406,0.0,1.0,0.175,10,1,2,beta,beta,neutron_to_proton
L2-BR3,-0.167,0.167,0.0,1.0,0.0,8,1,2,beta,beta,n_to_p_with_antineutrino
L2-BR4,-0.1328,0.1406,0.0,1.0,0.0,8,1,2,beta,beta,charge_plus_z_change
L2-BR5,-0.0078,0.0547,0.25,0.5,0.0,6,1,2,beta,beta,charge_plus_a_unchanged
L2-BR6,-0.2422,0.2422,0.0,1.0,0.25,8,1,2,beta,beta,z_plus1_with_antineutrino
L2-BR7,0.0215,0.1504,0.75,0.25,0.0,8,1,2,beta,beta,n_to_p_plus_z_plus1
L2-BR8,-0.1084,0.1357,0.0,1.0,0.0,8,1,2,beta,beta,full_beta_process_spec
L2-GRAD-A,0.1914,0.2018,1.0,0.0,0.0,6,1,2,alpha,alpha,
L2-GRAD-B,-0.0299,0.1159,0.25,0.75,0.0,6,1,2,beta,beta,
L3-A1,0.0781,0.1484,1.0,0.0,0.0,8,1,3,alpha,alpha,helium4_equivalence
L3-A2,0.165,0.1748,1.0,0.0,0.0,8,1,3,alpha,alpha,composite_nuclear_object
L3-A3,0.2266,0.2578,1.0,0.0,0.0,6,1,3,alpha,alpha,heavy_nuclear_fragment
L3-A4,0.0651,0.0703,1.0,0.0,0.0,6,1,3,alpha,alpha,baryon_number_4
L3-B1,-0.3809,0.3809,0.0,1.0,0.0,8,1,3,beta,beta,lepton_family
L3-B2,-0.2861,0.2861,0.0,1.0,0.0,8,1,3,beta,beta,electron_equivalence
L3-B3,-0.0234,0.0859,0.0,0.75,0.0,6,1,3,beta,beta,not_nuclear_fragment
L3-B4,-0.224,0.224,0.0,1.0,0.0,6,1,3,beta,beta,muon_family
L3-FA,0.0723,0.0723,1.0,0.0,0.0,8,1,3,alpha,alpha,
L3-FB,0.0264,0.1084,0.75,0.0,0.0,8,1,3,beta,beta,
AUX-A1,0.1458,0.1458,1.0,0.0,0.0,1,2,AUX,alpha,alpha,
AUX-A10,-0.1458,0.1458,0.0,1.0,0.0,1,2,AUX,alpha,alpha,
AUX-A2,0.0625,0.0625,1.0,0.0,0.0,1,2,AUX,alpha,alpha,
AUX-A3,-0.0625,0.0625,0.0,1.0,0.0,1,2,AUX,alpha,alpha,
AUX-A4,-0.0417,0.0417,0.0,0.6667,0.0,1,2,AUX,alpha,alpha,
AUX-A5,0.0833,0.0833,1.0,0.0,0.0,1,2,AUX,alpha,alpha,
AUX-A6,0.1667,0.1667,1.0,0.0,0.0,1,2,AUX,alpha,alpha,
AUX-A7,0.125,0.125,1.0,0.0,0.0,1,2,AUX,alpha,alpha,
AUX-A8,0.1458,0.1458,1.0,0.0,0.0,1,2,AUX,alpha,alpha,
AUX-A9,-0.1042,0.1042,0.0,1.0,0.0,1,2,AUX,alpha,alpha,
AUX-B1,-0.125,0.125,0.0,1.0,0.0,1,2,AUX,beta,beta,
AUX-B10,-0.1875,0.1875,0.0,1.0,0.6667,1,2,AUX,beta,beta,
AUX-B2,-0.4375,0.4375,0.0,1.0,0.0,1,2,AUX,beta,beta,
AUX-B3,0.3125,0.3125,1.0,0.0,0.0,1,2,AUX,beta,beta,
AUX-B4,0.125,0.125,1.0,0.0,0.0,1,2,AUX,beta,beta,
AUX-B5,0.0,0.0,0.0,0.0,0.0,1,2,AUX,beta,beta,
AUX-B6,0.0,0.0,0.0,0.0,0.0,1,2,AUX,beta,beta,
AUX-B7,-0.0833,0.0833,0.0,1.0,0.0,1,2,AUX,beta,beta,
AUX-B8,-0.1042,0.1042,0.0,1.0,0.0,1,2,AUX,beta,beta,
AUX-B9,-0.0417,0.0417,0.0,0.6667,0.0,1,2,AUX,beta,beta,
AUX-CF1,0.1875,0.1875,1.0,0.0,0.0,1,2,AUX,alpha,alpha,
AUX-CF10,-0.0208,0.0208,0.0,0.3333,0.0,1,2,AUX,beta,beta,
AUX-CF11,0.1458,0.1458,1.0,0.0,0.0,1,2,AUX,alpha,alpha,
AUX-CF12,-0.25,0.25,0.0,1.0,0.0,1,2,AUX,beta,beta,
AUX-CF2,-0.125,0.125,0.0,1.0,0.0,1,2,AUX,beta,beta,
AUX-CF3,0.2708,0.2708,1.0,0.0,0.0,1,2,AUX,alpha,alpha,
AUX-CF4,-0.125,0.125,0.0,1.0,0.0,1,2,AUX,beta,beta,
AUX-CF5,0.0625,0.0625,1.0,0.0,0.0,1,2,AUX,alpha,alpha,
AUX-CF6,-0.125,0.125,0.0,1.0,0.0,1,2,AUX,beta,beta,
AUX-CF7,0.0,0.0,0.0,0.0,0.0,1,2,AUX,alpha,alpha,
AUX-CF8,-0.0625,0.0625,0.0,1.0,0.0,1,2,AUX,beta,beta,
AUX-CF9,0.0208,0.0208,0.3333,0.0,0.0,1,2,AUX,alpha,alpha,
